Project Name,URL,Stars,Last Push,Archived,Has POM,Has Gradle,Has Build XML,Recent Commits,likely_buildable
intellij-community,git://github.com/JetBrains/intellij-community.git,19761,2026-03-25T23:29:15Z,False,False,False,True,True,True
platform_frameworks_base,git://github.com/android/platform_frameworks_base.git,10819,2025-11-12T05:57:50Z,True,False,False,False,True,False
drools,git://github.com/droolsjbpm/drools.git,6220,2026-03-23T10:05:24Z,False,True,False,False,True,True
hbase,git://github.com/apache/hbase.git,5578,2026-03-25T22:20:16Z,False,True,False,False,True,True
cw-omnibus,git://github.com/commonsguy/cw-omnibus.git,5339,2019-02-09T23:04:17Z,False,False,False,False,False,False
AxonFramework,git://github.com/AxonFramework/AxonFramework.git,3553,2026-03-25T22:37:16Z,False,True,False,False,True,True
spring-batch,git://github.com/SpringSource/spring-batch.git,2922,2026-03-23T07:41:56Z,False,True,False,False,True,True
cucumber-jvm,git://github.com/cucumber/cucumber-jvm.git,2794,2026-03-25T19:46:12Z,False,True,False,False,True,True
sshj,git://github.com/shikhar/sshj.git,2633,2026-02-17T12:53:56Z,False,False,True,False,True,True
archaius,git://github.com/Netflix/archaius.git,2495,2025-12-17T00:10:01Z,False,False,True,False,True,True
activemq,git://github.com/apache/activemq.git,2419,2026-03-25T14:27:17Z,False,True,False,False,True,True
liferay-portal,git://github.com/liferay/liferay-portal.git,2228,2026-03-25T22:23:58Z,False,False,False,True,True,True
dozer,git://github.com/DozerMapper/dozer.git,2104,2026-03-01T22:05:49Z,False,True,False,False,True,True
TwelveMonkeys,git://github.com/haraldk/TwelveMonkeys.git,2094,2026-03-19T14:34:06Z,False,True,False,False,True,True
MPS,git://github.com/JetBrains/MPS.git,1643,2026-03-25T21:02:07Z,False,False,False,True,True,True
java-game-server,git://github.com/menacher/java-game-server.git,1299,2025-11-03T22:30:43Z,False,False,False,False,True,False
XobotOS,git://github.com/xamarin/XobotOS.git,1242,2016-02-19T19:28:20Z,True,False,False,False,False,False
studio3,git://github.com/aptana/studio3.git,1094,2023-04-10T20:58:37Z,False,True,False,False,False,False
cxf,git://github.com/apache/cxf.git,914,2026-03-25T21:41:26Z,False,True,False,False,True,True
carrot2,git://github.com/carrot2/carrot2.git,850,2026-03-23T19:57:02Z,False,False,True,False,True,True
wayback,git://github.com/internetarchive/wayback.git,822,2024-03-01T23:58:07Z,False,True,False,False,False,False
infinitest,git://github.com/infinitest/infinitest.git,591,2026-02-04T17:48:38Z,False,True,False,False,True,True
AndroidBillingLibrary,git://github.com/robotmedia/AndroidBillingLibrary.git,535,2014-10-18T05:13:00Z,False,False,False,False,False,False
birt,git://github.com/eclipse/birt.git,528,2026-03-11T12:08:02Z,False,True,False,False,True,True
Catroid,git://github.com/Catrobat/Catroid.git,468,2026-03-25T01:43:02Z,False,False,True,False,True,True
zk,git://github.com/zkoss/zk.git,465,2026-02-13T07:52:17Z,False,False,True,False,True,True
ant,git://github.com/apache/ant.git,458,2026-03-24T04:28:51Z,False,False,False,True,True,True
jamendo-android,git://github.com/telecapoland/jamendo-android.git,425,2012-09-13T15:54:44Z,False,False,False,True,False,False
DownloadProvider,git://github.com/yxl/DownloadProvider.git,423,2016-06-17T03:14:18Z,False,False,True,False,False,False
cdt,git://github.com/eclipse/cdt.git,359,2026-03-17T13:27:32Z,False,True,False,False,True,True
jackrabbit,git://github.com/apache/jackrabbit.git,359,2026-03-23T15:35:25Z,False,True,False,False,True,True
vogella,git://github.com/vogella/vogella.git,348,2020-08-28T10:43:26Z,False,False,False,False,False,False
