commit,old_name,new_name,type,coRename,line_number,file_path
d6c6a1adef3627be29c58b2697f52a449f29f309,partition,partitionId,Rename Variable,0,131,zeebe/engine/src/test/java/io/camunda/zeebe/engine/processing/authorization/CreateAuthorizationMultipartitionTest.java
d6c6a1adef3627be29c58b2697f52a449f29f309,partition,partitionId,Rename Variable,0,141,zeebe/engine/src/test/java/io/camunda/zeebe/engine/processing/authorization/DeleteAuthorizationMultipartitionTest.java
d6c6a1adef3627be29c58b2697f52a449f29f309,partition,partitionId,Rename Variable,0,142,zeebe/engine/src/test/java/io/camunda/zeebe/engine/processing/authorization/UpdateAuthorizationMultipartitionTest.java
d6c6a1adef3627be29c58b2697f52a449f29f309,partition,partitionId,Rename Variable,0,136,zeebe/engine/src/test/java/io/camunda/zeebe/engine/processing/group/AddEntityGroupMultiPartitionTest.java
d6c6a1adef3627be29c58b2697f52a449f29f309,partition,partitionId,Rename Variable,0,107,zeebe/engine/src/test/java/io/camunda/zeebe/engine/processing/group/CreateGroupMultiPartitionTest.java
d6c6a1adef3627be29c58b2697f52a449f29f309,partition,partitionId,Rename Variable,0,114,zeebe/engine/src/test/java/io/camunda/zeebe/engine/processing/group/DeleteGroupMultiPartitionTest.java
d6c6a1adef3627be29c58b2697f52a449f29f309,partition,partitionId,Rename Variable,0,147,zeebe/engine/src/test/java/io/camunda/zeebe/engine/processing/group/RemoveEntityGroupMultiPartitionTest.java
d6c6a1adef3627be29c58b2697f52a449f29f309,partition,partitionId,Rename Variable,0,116,zeebe/engine/src/test/java/io/camunda/zeebe/engine/processing/group/UpdateGroupMultiPartitionTest.java
d6c6a1adef3627be29c58b2697f52a449f29f309,partition,partitionId,Rename Variable,0,118,zeebe/engine/src/test/java/io/camunda/zeebe/engine/processing/mapping/CreateMappingMultiPartitionTest.java
d6c6a1adef3627be29c58b2697f52a449f29f309,partition,partitionId,Rename Variable,0,122,zeebe/engine/src/test/java/io/camunda/zeebe/engine/processing/mapping/DeleteMappingMultiPartitionTest.java
d6c6a1adef3627be29c58b2697f52a449f29f309,partition,partitionId,Rename Variable,0,109,zeebe/engine/src/test/java/io/camunda/zeebe/engine/processing/mapping/UpdateMappingMultiPartitionTest.java
d6c6a1adef3627be29c58b2697f52a449f29f309,partition,partitionId,Rename Variable,0,131,zeebe/engine/src/test/java/io/camunda/zeebe/engine/processing/role/AddEntityRoleMultiPartitionTest.java
d6c6a1adef3627be29c58b2697f52a449f29f309,partition,partitionId,Rename Variable,0,106,zeebe/engine/src/test/java/io/camunda/zeebe/engine/processing/role/CreateRoleMultiPartitionTest.java
d6c6a1adef3627be29c58b2697f52a449f29f309,partition,partitionId,Rename Variable,0,117,zeebe/engine/src/test/java/io/camunda/zeebe/engine/processing/role/DeleteRoleMultiPartitionTest.java
d6c6a1adef3627be29c58b2697f52a449f29f309,partition,partitionId,Rename Variable,0,142,zeebe/engine/src/test/java/io/camunda/zeebe/engine/processing/role/RemoveEntityRoleMultiPartitionTest.java
d6c6a1adef3627be29c58b2697f52a449f29f309,partition,partitionId,Rename Variable,0,113,zeebe/engine/src/test/java/io/camunda/zeebe/engine/processing/role/UpdateRoleMultiPartitionTest.java
d6c6a1adef3627be29c58b2697f52a449f29f309,partition,partitionId,Rename Variable,0,149,zeebe/engine/src/test/java/io/camunda/zeebe/engine/processing/tenant/AddEntityTenantMultiPartitionTest.java
d6c6a1adef3627be29c58b2697f52a449f29f309,partition,partitionId,Rename Variable,0,106,zeebe/engine/src/test/java/io/camunda/zeebe/engine/processing/tenant/CreateTenantMultiPartitionTest.java
d6c6a1adef3627be29c58b2697f52a449f29f309,partition,partitionId,Rename Variable,0,113,zeebe/engine/src/test/java/io/camunda/zeebe/engine/processing/tenant/DeleteTenantMultiPartitionTest.java
d6c6a1adef3627be29c58b2697f52a449f29f309,partition,partitionId,Rename Variable,0,130,zeebe/engine/src/test/java/io/camunda/zeebe/engine/processing/tenant/RemoveEntityTenantMultiPartitionTest.java
