commit,old_name,new_name,type,coRename,line_number,file_path
7249fc8ec9879485d69e250227ba1601715f091e,AbstractContractMarketCalculateRequiredUnitsInCombatTeams,AbstractContractMarketCalculateRequiredCombatElements,Rename Class,0,126,MekHQ/unittests/mekhq/campaign/market/enums/ContractMarketMethodTest.java
7249fc8ec9879485d69e250227ba1601715f091e,getRequiredUnitsInCombatTeams,getRequiredCombatElements,Rename Method,0,1587,MekHQ/src/mekhq/campaign/mission/AtBContract.java
7249fc8ec9879485d69e250227ba1601715f091e,setRequiredUnitsInCombatTeams,setRequiredCombatElements,Rename Method,0,1591,MekHQ/src/mekhq/campaign/mission/AtBContract.java
7249fc8ec9879485d69e250227ba1601715f091e,requiredUnitsInCombatTeams,requiredCombatElements,Rename Attribute,0,191,MekHQ/src/mekhq/campaign/mission/AtBContract.java
7249fc8ec9879485d69e250227ba1601715f091e,calculateRequiredUnitsInCombatTeams,calculateRequiredCombatElements,Rename Method,0,250,MekHQ/src/mekhq/campaign/market/contractMarket/AbstractContractMarket.java
7249fc8ec9879485d69e250227ba1601715f091e,lblRequiredUnitsInCombatTeams,lblRequiredCombatElements,Rename Variable,0,560,MekHQ/src/mekhq/gui/view/ContractSummaryPanel.java
7249fc8ec9879485d69e250227ba1601715f091e,txtRequiredUnitsInCombatTeams,txtRequiredCombatElements,Rename Variable,0,565,MekHQ/src/mekhq/gui/view/ContractSummaryPanel.java
7249fc8ec9879485d69e250227ba1601715f091e,testRequiredUnitsInCombatTeamsWithVariance,testRequiredCombatElementsWithVariance,Rename Method,0,238,MekHQ/unittests/mekhq/campaign/market/enums/ContractMarketMethodTest.java
7249fc8ec9879485d69e250227ba1601715f091e,assertRequiredUnitsInCombatTeamsResults,assertRequiredCombatElementsResults,Rename Method,0,265,MekHQ/unittests/mekhq/campaign/market/enums/ContractMarketMethodTest.java
7249fc8ec9879485d69e250227ba1601715f091e,requiredUnitsInCombatTeamsCount,requiredCombatElementsCount,Rename Variable,0,280,MekHQ/unittests/mekhq/campaign/market/enums/ContractMarketMethodTest.java
7249fc8ec9879485d69e250227ba1601715f091e,requiredUnitsInCombatTeamsCounts,requiredCombatElementsCounts,Rename Parameter,0,276,MekHQ/unittests/mekhq/campaign/market/enums/ContractMarketMethodTest.java
1821869c6013f5e981cc330af17fc813f7665304,nClass,weightClassSelectorIndex,Rename Parameter,0,318,MekHQ/src/mekhq/gui/dialog/MekHQUnitSelectorDialog.java
1821869c6013f5e981cc330af17fc813f7665304,nClass,weightClassSelectorIndex,Rename Variable,0,388,MekHQ/src/mekhq/gui/dialog/MekHQUnitSelectorDialog.java
1821869c6013f5e981cc330af17fc813f7665304,nUnit,unitTypeSelectorIndex,Rename Parameter,1,319,MekHQ/src/mekhq/gui/dialog/MekHQUnitSelectorDialog.java
1821869c6013f5e981cc330af17fc813f7665304,nUnit,unitTypeSelectorIndex,Rename Variable,1,389,MekHQ/src/mekhq/gui/dialog/MekHQUnitSelectorDialog.java
1821869c6013f5e981cc330af17fc813f7665304,mek,unitSummary,Rename Parameter,-1,318,MekHQ/src/mekhq/gui/dialog/MekHQUnitSelectorDialog.java
1821869c6013f5e981cc330af17fc813f7665304,dialogOptionComponent,DialogOptionComponentYPanel,Rename Parameter,-1,138,MekHQ/src/mekhq/gui/dialog/QuirksDialog.java
6c3ef8f106830d09be2a669ce492be2ed72fd8ba,politicalRegard,climateRegard,Rename Attribute,0,232,MekHQ/src/mekhq/campaign/universe/factionStanding/FactionStandings.java
6c3ef8f106830d09be2a669ce492be2ed72fd8ba,politicalRegard,climateRegard,Rename Parameter,0,404,MekHQ/src/mekhq/campaign/universe/factionStanding/FactionStandings.java
