commit,old_name,new_name,type,coRename,line_number,file_path
66913489fb380fa735e3511f5853314749445d8e,adaptArguments,castArguments,Rename Method,0,274,flink-table/flink-table-api-java/src/main/java/org/apache/flink/table/expressions/resolver/rules/ResolveCallByArgumentsRule.java
66913489fb380fa735e3511f5853314749445d8e,adaptArguments,castArguments,Rename Method,0,97,flink-table/flink-table-common/src/main/java/org/apache/flink/table/types/inference/TypeInferenceUtil.java
66913489fb380fa735e3511f5853314749445d8e,adaptArguments,castArguments,Rename Method,0,108,flink-table/flink-table-common/src/main/java/org/apache/flink/table/types/inference/TypeInferenceUtil.java
66913489fb380fa735e3511f5853314749445d8e,adaptedCallContext,castCallContext,Rename Variable,0,466,flink-table/flink-table-common/src/main/java/org/apache/flink/table/types/inference/TypeInferenceUtil.java
66913489fb380fa735e3511f5853314749445d8e,adaptedCallContext,castCallContext,Rename Variable,0,127,flink-table/flink-table-common/src/main/java/org/apache/flink/table/types/inference/TypeInferenceUtil.java
66913489fb380fa735e3511f5853314749445d8e,adaptedCallContext,castCallContext,Rename Variable,0,206,flink-table/flink-table-planner/src/main/java/org/apache/flink/table/planner/functions/inference/TypeInferenceOperandChecker.java
66913489fb380fa735e3511f5853314749445d8e,AdaptedCallContext,CastCallContext,Rename Class,0,37,flink-table/flink-table-common/src/main/java/org/apache/flink/table/types/inference/utils/AdaptedCallContext.java
66913489fb380fa735e3511f5853314749445d8e,name,functionName,Rename Variable,2,118,flink-table/flink-table-api-java/src/main/java/org/apache/flink/table/expressions/resolver/rules/ResolveCallByArgumentsRule.java
66913489fb380fa735e3511f5853314749445d8e,name,functionName,Rename Parameter,2,251,flink-table/flink-table-api-java/src/main/java/org/apache/flink/table/expressions/resolver/rules/ResolveCallByArgumentsRule.java
66913489fb380fa735e3511f5853314749445d8e,getOptionalTypeInference : Optional<TypeInference>,getTypeInferenceOrNull : TypeInference,Rename Method,-1,239,flink-table/flink-table-api-java/src/main/java/org/apache/flink/table/expressions/resolver/rules/ResolveCallByArgumentsRule.java
66913489fb380fa735e3511f5853314749445d8e,isCasted,isCast,Rename Method,-1,121,flink-table/flink-table-common/src/main/java/org/apache/flink/table/types/inference/utils/AdaptedCallContext.java
aa6a8db2def58f5ea897d0dbe34f89cc63685674,getAsyncInflightRecordsLimit,getAsyncStateTotalBufferSize,Rename Method,0,483,flink-core/src/main/java/org/apache/flink/api/common/ExecutionConfig.java
aa6a8db2def58f5ea897d0dbe34f89cc63685674,setAsyncInflightRecordsLimit,setAsyncStateTotalBufferSize,Rename Method,0,488,flink-core/src/main/java/org/apache/flink/api/common/ExecutionConfig.java
