conceptRename?,oldName,newName,coRename,commitdate,commit,type,file,line
TRUE,filename,file,-1,2020-04-19 07:57:29+02:00,6969f515d020addf401c1920d43855e3cd6f5152,Parameter,src/argouml-app/tests/org/argouml/persistence/TestZargoFilePersister.java,129
TRUE,testfile,file,-1,2020-04-19 07:57:29+02:00,6969f515d020addf401c1920d43855e3cd6f5152,Variable,src/argouml-app/tests/org/argouml/ui/TestPropertyPanels.java,200
TRUE,modulesActions,actions,-1,2014-06-29 00:51:28+00:00,b0989b87be24e97a50bf8ef583c51cfeccb387ce,Variable,src/argouml-app/src/org/argouml/uml/diagram/ui/FigNodeModelElement.java,613
TRUE,totalX,currentHeapX,0,2013-02-08 03:31:06+00:00,99264026bc1d2926b96d0c5730f8b6821a4d1669,Variable,src/argouml-app/src/org/argouml/ui/HeapMonitor.java,94
TRUE,TOTAL_COLOR,CURRENT_HEAP_COLOR,0,2013-02-08 03:31:06+00:00,99264026bc1d2926b96d0c5730f8b6821a4d1669,Attribute,src/argouml-app/src/org/argouml/ui/HeapMonitor.java,65
TRUE,currentLocale,locale,-1,2012-06-23 20:55:42+00:00,4a00aed8f26f8ed11a6fbb8aabae07d7df23b827,Parameter,tools/test-i18n-properties/src/org/argouml/i18n/CheckKey.java,39
TRUE,str,key,-1,2012-06-05 15:17:49+00:00,c801916d8c23b1a61b9704c57a1f40a7d2926be4,Parameter,src/argouml-app/src/org/argouml/ui/cmd/GenericArgoMenuBar.java,1069
TRUE,urlToOpen,fileToOpen,0,2011-12-31 07:05:14+00:00,ecf5d5adc49530c9a7098233c0f33d10cb33e240,Parameter,src/argouml-app/src/org/argouml/application/Main.java,482
TRUE,urlToOpen,fileToOpen,0,2011-12-31 07:05:14+00:00,ecf5d5adc49530c9a7098233c0f33d10cb33e240,Variable,src/argouml-app/src/org/argouml/application/Main.java,208
TRUE,ORANGE_THRESHOLD,WARN_THRESHOLD,-1,2011-10-04 02:47:51+00:00,f950eea61f75861d21f56cea4a06c92559e1fc37,Attribute,src/argouml-app/src/org/argouml/ui/HeapMonitor.java,60
TRUE,RED_THRESHOLD,CRITICAL_THRESHOLD,-1,2011-10-04 02:47:51+00:00,f950eea61f75861d21f56cea4a06c92559e1fc37,Attribute,src/argouml-app/src/org/argouml/ui/HeapMonitor.java,61
