conceptRename?,oldName,newName,coRename,commitdate,commit,type,file,line
TRUE,Environment,Utils,-1,2020-06-26 21:52:29-05:00,82985196346fe139fd55b1c4317551f12cc8f853,Class,ratpack-exec/src/main/java/ratpack/exec/util/internal/Environment.java,30
TRUE,serverEnvironment,environment,0,2020-06-26 21:52:29-05:00,82985196346fe139fd55b1c4317551f12cc8f853,Parameter,ratpack-core/src/main/java/ratpack/core/config/internal/DefaultConfigDataBuilder.java,53
TRUE,serverEnvironment,environment,0,2020-06-26 21:52:29-05:00,82985196346fe139fd55b1c4317551f12cc8f853,Parameter,ratpack-core/src/main/java/ratpack/core/config/internal/DefaultConfigDataBuilder.java,57
TRUE,serverEnvironment,environment,0,2020-06-26 21:52:29-05:00,82985196346fe139fd55b1c4317551f12cc8f853,Parameter,ratpack-core/src/main/java/ratpack/core/config/internal/DefaultConfigDataBuilder.java,62
TRUE,serverEnvironment,environment,0,2020-06-26 21:52:29-05:00,82985196346fe139fd55b1c4317551f12cc8f853,Attribute,ratpack-core/src/main/java/ratpack/core/config/internal/DefaultConfigDataBuilder.java,49
TRUE,serverEnvironment,environment,0,2020-06-26 21:52:29-05:00,82985196346fe139fd55b1c4317551f12cc8f853,Parameter,ratpack-core/src/main/java/ratpack/core/config/internal/source/EnvironmentConfigSource.java,47
TRUE,serverEnvironment,environment,0,2020-06-26 21:52:29-05:00,82985196346fe139fd55b1c4317551f12cc8f853,Parameter,ratpack-core/src/main/java/ratpack/core/config/internal/source/EnvironmentConfigSource.java,51
TRUE,serverEnvironment,environment,0,2020-06-26 21:52:29-05:00,82985196346fe139fd55b1c4317551f12cc8f853,Parameter,ratpack-core/src/main/java/ratpack/core/config/internal/source/EnvironmentConfigSource.java,55
TRUE,serverEnvironment,environment,0,2020-06-26 21:52:29-05:00,82985196346fe139fd55b1c4317551f12cc8f853,Parameter,ratpack-core/src/main/java/ratpack/core/config/internal/source/EnvironmentConfigSource.java,62
TRUE,serverEnvironment,environment,0,2020-06-26 21:52:29-05:00,82985196346fe139fd55b1c4317551f12cc8f853,Attribute,ratpack-core/src/main/java/ratpack/core/config/internal/source/EnvironmentConfigSource.java,44
TRUE,shouldTryDrain,shouldDrain,-1,2020-06-20 19:47:44-05:00,c876067112c5386aa914b14492d36ce5d3b3e715,Method,ratpack-exec/src/main/java/ratpack/exec/internal/CachingUpstream.java,51
TRUE,cached,loading,0,2019-10-09 12:00:57+10:00,2a41e57af534e574f95464130076415700527b56,Variable,ratpack-exec/src/main/java/ratpack/exec/internal/CachingUpstream.java,57
TRUE,cached,loading,0,2019-10-09 12:00:57+10:00,2a41e57af534e574f95464130076415700527b56,Variable,ratpack-exec/src/main/java/ratpack/exec/internal/CachingUpstream.java,112
TRUE,ref,loadingRef,-1,2019-10-09 12:00:57+10:00,2a41e57af534e574f95464130076415700527b56,Attribute,ratpack-exec/src/main/java/ratpack/exec/internal/CachingUpstream.java,36
TRUE,locationUrl,locationUri,-1,2019-02-12 11:53:24-06:00,375bd49146f585acd6aa9bda9ec710c04b93e8dc,Variable,ratpack-core/src/main/java/ratpack/http/client/internal/RequestActionSupport.java,254
TRUE,fromCompletableFuture,toPromise,-1,2018-10-28 21:13:03-05:00,163a87b6271116b680cca0b1be681ad52b2b0b1a,Method,ratpack-exec/src/main/java/ratpack/exec/Promise.java,2485
