id,recall,precision,f1_score,human_review_count,first_file_precision,first_file_recall,tp_starting_file,tp_sec_files,fp_starting_file,fp_sec_files,count_acc_starting_file,count_acc_secondary_files,count_rej_starting_file,count_rej_secondary_files,tp_count,oracle_count,fp_count,human_rejected_count
2001,0,0,0.0,0,0,0,0,0,0,0,1,10,0,0,0,6,0,0
2012,0.2,1.0,0.333333,4,0.25,2.0,2,0,6,0,5,25,0,0,1,5,3,0
2051,0.2,1.0,0.333333,2,0.5,2.0,2,0,2,0,3,4,0,0,1,5,1,0
2052,0.6,1.0,0.75,3,1.0,2.0,6,0,0,0,4,2,0,0,3,5,0,0
2053,0,1.0,0.0,2,0.0,0,0,0,4,0,3,24,0,0,0,3,2,0
2054,0.666667,1.0,0.8,3,0.6666666666666666,2.0,4,0,2,0,4,7,0,0,2,3,1,0
2063,0.2,1.0,0.333333,8,0.14285714285714285,2.0,2,0,12,0,9,54,0,0,1,5,6,0
2121,0.131579,1.0,0.232558,14,0.38461538461538464,0,5,0,8,0,15,94,0,0,5,38,8,0
2132,1.0,1.0,1.0,22,0.1111111111111111,2.0,4,0,32,0,23,38,0,0,2,2,16,0
2151,0,1.0,0.0,2,0,0,0,0,0,0,3,282,0,0,0,8,0,0
2161,0.2,1.0,0.333333,2,1.0,0,1,0,0,0,3,7,0,0,1,5,0,0
2171,0.75,1.0,0.857143,3,0.8333333333333334,2.5,5,0,1,0,4,19,0,0,3,4,1,0
2172,0.75,1.0,0.857143,4,0.625,2.5,5,0,3,0,5,4,0,0,3,4,2,0
2201,1.0,1.0,1.0,21,0.5641025641025641,2.0,22,0,17,0,22,335,0,0,11,11,9,0
2211,0.185185,1.0,0.3125,5,0.3333333333333333,5.0,5,0,10,0,6,73,0,0,5,27,5,0
2221,0,0,0.0,0,0,0,0,0,0,0,1,2,0,0,0,7,0,0
2222,0,1.0,0.0,17,0.0,0,0,0,24,0,18,225,0,0,0,3,13,0
2234,0,1.0,0.0,1,0.0,0,0,0,2,0,2,11,0,0,0,3,1,0
2241,0.333333,1.0,0.5,7,0.14285714285714285,2.0,2,0,12,0,8,192,0,0,1,3,6,0
2243,1.0,1.0,1.0,9,0.7777777777777778,2.0,14,0,4,0,10,3,0,0,7,7,2,0
2283,0.333333,1.0,0.5,5,0.2222222222222222,2.0,2,0,7,0,6,5,0,0,1,3,4,0
2292,1.0,1.0,1.0,8,1.0,2.0,10,0,0,0,9,18,0,0,5,5,0,0
2311,0.05,1.0,0.095238,1,1.0,0,1,0,0,0,2,22,0,0,1,20,0,0
2321,1.0,1.0,1.0,4,1.0,2.0,8,0,0,0,5,23,0,0,4,4,0,0
2322,1.0,1.0,1.0,5,0.6,2.0,6,0,4,0,6,0,0,0,3,3,2,0
2323,1.0,1.0,1.0,5,0.6,2.0,6,0,4,0,6,0,0,0,3,3,2,0
2331,0.75,0,0.0,0,1.0,0,3,0,0,0,1,1,0,0,3,4,0,0
2332,0.166667,1.0,0.285714,2,0.2857142857142857,2.0,2,0,5,0,3,5,0,0,1,6,4,0
2342,0,1.0,0.0,1,0.0,0,0,0,11,0,2,13,0,0,0,12,10,0
2351,0.666667,1.0,0.8,2,1.0,2.0,4,0,0,0,3,9,0,0,2,3,0,0
100601,0,0,0.0,0,0,0,0,0,0,0,1,44,0,0,0,21,0,0
100681,0.04878,1.0,0.093023,2,1.0,0,2,0,0,0,3,9,0,0,2,41,0,0
100831,0.023256,1.0,0.045455,1,1.0,2.0,2,0,0,0,2,68,0,0,1,43,0,0
102121,0,1.0,0.0,1,0.0,0.0,0,0,2,0,2,3,0,0,0,4,1,0
102122,1.0,1.0,1.0,12,0.25,2.0,6,0,18,0,13,0,0,0,3,3,9,0
102123,1.0,1.0,1.0,12,0.25,2.0,6,0,18,0,13,0,0,0,3,3,9,0
103411,0.25,1.0,0.4,6,0.25,2.0,2,0,6,0,7,38,0,0,1,4,5,0
103412,0.25,1.0,0.4,5,0.5,0,1,0,1,0,6,48,0,0,1,4,1,0
103501,0,0,0.0,0,0,0,0,0,0,0,1,4,0,0,0,14,0,0
103861,0.333333,1.0,0.5,3,0.5,2.0,2,0,2,0,4,31,0,0,1,3,1,0
103871,0.333333,1.0,0.5,3,0.5,2.0,2,0,2,0,4,11,0,0,1,3,1,0
103872,0,1.0,0.0,7,0.0,0,0,0,12,0,8,187,0,0,0,3,7,0
104711,0,1.0,0.0,11,0.0,0,0,0,22,0,12,92,0,0,0,3,11,0
112651,0.172414,1.0,0.294118,16,0.2631578947368421,2.0,10,0,28,0,17,222,0,0,5,29,14,0
112661,0.454545,1.0,0.625,4,1.0,2.0,10,0,0,0,5,6,0,0,5,11,0,0
112681,0.125,1.0,0.222222,1,1.0,2.0,2,0,0,0,2,0,0,0,1,8,0,0
112691,0,1.0,0.0,1,0.0,0,0,0,1,0,2,7,0,0,0,5,1,0
112741,0.4,1.0,0.571429,13,0.23076923076923078,2.0,6,0,20,0,14,6,0,0,4,10,15,0
112742,0.666667,1.0,0.8,24,0.16666666666666666,2.6666666666666665,8,0,40,0,25,43,0,0,4,3,25,0
113011,0.2,1.0,0.333333,1,1.0,0,1,0,0,0,2,3,0,0,1,5,0,0
113012,1.0,1.0,1.0,14,0.25,2.3333333333333335,7,0,21,0,15,3,0,0,4,4,12,0
114721,0,0,0.0,0,0,0,0,0,0,0,1,2,0,0,0,7,0,0
114941,0.777778,1.0,0.875,5,1.0,2.4,12,0,0,0,6,2,0,0,7,9,0,0
115271,0.642857,1.0,0.782609,9,1.0,2.0,18,0,0,0,10,5,0,0,9,14,0,0
115671,0.75,1.0,0.857143,3,1.0,2.0,6,0,0,0,4,4,0,0,3,4,0,0
115691,0.28,1.0,0.4375,5,1.0,2.0,14,0,0,0,6,4,0,0,7,25,0,0
116351,0,0,0.0,0,0,0,0,0,0,0,1,8,0,0,0,9,0,0
116352,1.0,1.0,1.0,9,0.16,4.0,4,0,21,0,10,255,0,0,3,3,14,0
116371,0.6,1.0,0.75,2,1.0,2.5,5,0,0,0,3,4,0,0,3,5,0,0
118521,1.0,1.0,1.0,5,0.5833333333333334,2.3333333333333335,7,0,5,0,6,16,0,0,4,4,3,0
119621,1.0,1.0,1.0,1,1.0,4.0,4,0,0,0,2,0,0,0,3,3,0,0
119751,0.5,1.0,0.666667,3,0.6666666666666666,2.0,4,0,2,0,4,11,0,0,2,4,1,0
119831,0.04,1.0,0.076923,1,1.0,0,1,0,0,0,2,48,0,0,1,25,0,0
122411,0.058824,1.0,0.111111,1,1.0,0,1,0,0,0,2,32,0,0,1,17,0,0
122421,0,1.0,0.0,2,0.0,0,0,0,3,0,3,86,0,0,0,22,3,0
122422,0,1.0,0.0,4,0.0,0,0,0,7,0,5,20,0,0,0,6,4,0
122491,0.285714,1.0,0.444444,3,0.75,3.0,3,0,1,0,4,14,0,0,2,7,1,0
125461,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,18,0,0
125462,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,7,0,0
125511,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,4,0,0
132451,1.0,1.0,1.0,11,1.0,2.0,22,0,0,0,12,90,0,0,11,11,0,0
132483,0,1.0,0.0,2,0.0,0,0,0,1,0,3,2,0,0,0,3,1,0
133021,0,1.0,0.0,3,0.0,0,0,0,3,0,4,74,0,0,0,6,3,0
133451,0.777778,1.0,0.875,1,1.0,8.0,8,0,0,0,2,2,0,0,7,9,0,0
134981,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0
142761,0.428571,1.0,0.6,4,0.75,2.0,6,0,2,0,5,5,0,0,3,7,1,0
142991,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0
160961,0.25,1.0,0.4,2,0.3333333333333333,2.0,2,0,4,0,3,38,0,0,1,4,2,0
163651,0.4,1.0,0.571429,2,1.0,2.0,4,0,0,0,3,10,0,0,2,5,0,0
