id,recall,precision,f1_score,human_review_count,first_file_precision,first_file_recall,tp_starting_file,tp_sec_files,fp_starting_file,fp_sec_files,count_acc_starting_file,count_acc_secondary_files,count_rej_starting_file,count_rej_secondary_files,tp_count,oracle_count,fp_count,human_rejected_count
2001,1.0,1.0,1.0,10,0,0,0,6,0,4,1,10,0,0,6,6,4,0
2012,1.0,1.0,1.0,29,0.25,2.0,2,4,6,22,5,25,0,0,5,5,25,0
2051,1.0,1.0,1.0,6,0.5,2.0,2,4,2,0,3,4,0,0,5,5,1,0
2052,1.0,1.0,1.0,5,1.0,2.0,6,2,0,0,4,2,0,0,5,5,0,0
2053,1.0,1.0,1.0,26,0.0,0,0,3,4,21,3,24,0,0,3,3,23,0
2054,1.0,1.0,1.0,10,0.6666666666666666,2.0,4,1,2,6,4,7,0,0,3,3,7,0
2063,0.2,1.0,0.333333,62,0.14285714285714285,2.0,2,0,12,47,9,54,0,0,1,5,53,0
2121,0.5,1.0,0.666667,108,0.4166666666666667,0,5,14,7,67,15,94,0,0,19,38,74,0
2132,1.0,1.0,1.0,60,0.1111111111111111,2.0,4,0,32,28,23,38,0,0,2,2,44,0
2151,0.875,1.0,0.933333,284,0,0,0,7,0,311,3,282,0,0,7,8,311,0
2161,1.0,1.0,1.0,9,1.0,0,1,4,0,3,3,7,0,0,5,5,3,0
2171,1.0,1.0,1.0,22,0.8333333333333334,2.5,5,1,1,18,4,19,0,0,4,4,19,0
2172,1.0,1.0,1.0,8,0.625,2.5,5,1,3,3,5,4,0,0,4,4,5,0
2201,1.0,1.0,1.0,356,0.5641025641025641,2.0,22,0,17,347,22,335,0,0,11,11,356,0
2211,0.518519,1.0,0.682927,78,0.3333333333333333,5.0,5,9,10,95,6,73,0,0,14,27,100,0
2221,0,1.0,0.0,2,0,0,0,0,0,1,1,2,0,0,0,7,1,0
2222,0,1.0,0.0,242,0.0,0,0,0,24,292,18,225,0,0,0,3,305,0
2234,1.0,1.0,1.0,12,0.0,0,0,3,2,8,2,11,0,0,3,3,9,0
2241,0.333333,1.0,0.5,199,0.14285714285714285,2.0,2,0,12,161,8,192,0,0,1,3,167,0
2243,1.0,1.0,1.0,12,0.7777777777777778,2.0,14,0,4,5,10,3,0,0,7,7,7,0
2283,0.666667,1.0,0.8,10,0.2222222222222222,2.0,2,1,7,4,6,5,0,0,2,3,8,0
2292,1.0,1.0,1.0,26,1.0,2.0,10,0,0,18,9,18,0,0,5,5,18,0
2311,0.95,1.0,0.974359,23,1.0,0,1,18,0,4,2,22,0,0,19,20,4,0
