id,precision,recall,f1_score,agent_refactoring_count,oracle_count
900,0.3333333333333333,1.0,0.5,3,1
901,0,0.0,0,0,8
902,0,0.0,0,0,4
903,0.0,0.0,0,5,1
904,0.0,0.0,0,5,3
905,1.0,0.3333333333333333,0.5,1,3
908,0.0,0.0,0,2,1
909,0,0.0,0,0,2
910,0.0,0.0,0,3,2
911,0,0.0,0,0,1
912,0,0.0,0,0,3
913,1.0,1.0,1.0,1,1
915,0.0,0.0,0,1,2
916,0.25,1.0,0.4,4,1
917,0,0.0,0,0,1
920,0.0,0.0,0,1,12
921,0.0,0.0,0,12,25
922,0.0,0.0,0,3,1
923,0.0,0.0,0,2,1
924,0.0,0.0,0,1,1
925,0.0,0.0,0,3,1
926,0.0,0.0,0,3,1
928,0.0,0.0,0,1,1
929,0,0.0,0,0,1
930,1.0,0.3333333333333333,0.5,1,3
931,0,0.0,0,0,1
932,1.0,1.0,1.0,1,1
934,1.0,1.0,1.0,1,1
935,0.3333333333333333,1.0,0.5,3,1
936,0,0.0,0,0,2
939,1.0,1.0,1.0,3,3
940,0.0,0.0,0,2,1
941,0.6666666666666666,1.0,0.8,3,2
942,1.0,0.75,0.8571428571428571,3,4
943,0,0.0,0,0,1
944,0,0.0,0,0,1
946,0.04,1.0,0.07692307692307693,25,1
947,0.0,0.0,0,9,4
948,0,0.0,0,0,5
949,0.09090909090909091,1.0,0.16666666666666669,11,1
951,0.5,1.0,0.6666666666666666,2,1
952,0.25,0.3333333333333333,0.28571428571428575,4,3
954,0.47368421052631576,0.9,0.6206896551724138,19,10
955,0.0,0.0,0,4,1
956,0,0.0,0,0,1
957,0.0,0.0,0,1,2
958,0.0,0.0,0,1,1
959,0.0,0.0,0,5,1
960,0.13333333333333333,1.0,0.23529411764705882,15,2
961,0.5,0.25,0.3333333333333333,2,4
962,0.0,0.0,0,2,28
963,1.0,0.0625,0.11764705882352941,1,16
964,1.0,1.0,1.0,1,1
965,0.5,1.0,0.6666666666666666,2,1
966,1.0,1.0,1.0,2,2
967,0.5,0.6666666666666666,0.5714285714285715,4,3
968,0.5,1.0,0.6666666666666666,4,2
970,0,0.0,0,0,1
971,0.0,0.0,0,8,2
973,1.0,1.0,1.0,1,1
974,0.5555555555555556,1.0,0.7142857142857143,9,5
975,0.36363636363636365,0.2857142857142857,0.32,11,14
976,1.0,0.5,0.6666666666666666,1,2
977,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,3
978,0.0,0.0,0,1,1
979,1.0,1.0,1.0,1,1
980,0.0,0.0,0,2,1
981,1.0,0.5,0.6666666666666666,1,2
982,0.0,0.0,0,1,8
983,0.0,0.0,0,1,1
984,1.0,0.3333333333333333,0.5,1,3
986,0.3333333333333333,1.0,0.5,3,1
987,0.0,0.0,0,2,1
988,0.5,1.0,0.6666666666666666,2,1
991,0.42857142857142855,1.0,0.6,7,3
992,0.25,1.0,0.4,4,1
995,0.0,0.0,0,1,1
996,0.0,0.0,0,2,3
997,0.6666666666666666,1.0,0.8,3,2
999,0.0,0.0,0,7,1
1000,1.0,1.0,1.0,2,2
1002,0,0.0,0,0,3
1003,0.0,0.0,0,3,1
1004,1.0,0.2,0.33333333333333337,2,10
1005,1.0,0.25,0.4,4,16
1006,1.0,1.0,1.0,2,2
1008,0,0.0,0,0,30
1009,1.0,0.25,0.4,1,4
1010,0.25,0.14285714285714285,0.18181818181818182,4,7
1011,1.0,0.25,0.4,3,12
1012,0,0.0,0,0,1
1013,1.0,0.5,0.6666666666666666,1,2
1014,0.0,0.0,0,1,3
1015,0.2,1.0,0.33333333333333337,5,1
1016,0.5,1.0,0.6666666666666666,2,1
1017,1.0,1.0,1.0,1,1
1018,0.0,0.0,0,8,7
1019,0.0,0.0,0,6,7
1020,0.3333333333333333,0.5,0.4,3,2
1021,0.25,1.0,0.4,4,1
1022,0.0,0.0,0,5,4
1023,0.6,1.0,0.7499999999999999,5,3
1024,0.25,1.0,0.4,4,1
1025,0,0.0,0,0,1
1026,1.0,0.6666666666666666,0.8,2,3
1027,0.0,0.0,0,1,1
1028,1.0,1.0,1.0,1,1
1029,0.0,0.0,0,1,1
1030,0,0.0,0,0,5
1031,0,0.0,0,0,5
1032,0.5,0.25,0.3333333333333333,2,4
1033,0,0.0,0,0,1
1034,0.125,1.0,0.2222222222222222,8,1
1035,1.0,1.0,1.0,1,1
1036,0.0,0.0,0,2,3
1037,0.3333333333333333,1.0,0.5,3,1
1038,0.0,0.0,0,2,1
1039,0,0.0,0,0,1
1040,1.0,1.0,1.0,1,1
1041,0.14285714285714285,0.3333333333333333,0.2,7,3
1042,0,0.0,0,0,30
1043,0.0,0.0,0,2,1
1044,1.0,1.0,1.0,1,1
1045,0.0,0.0,0,3,1
1048,0,0.0,0,0,1
1049,0.0,0.0,0,1,4
1051,0.5,1.0,0.6666666666666666,2,1
1052,0,0.0,0,0,1
1053,0.0,0.0,0,1,1
1056,0.6666666666666666,0.15384615384615385,0.25,3,13
1057,0.2,1.0,0.33333333333333337,5,1
1058,0,0.0,0,0,4
1059,1.0,0.3333333333333333,0.5,1,3
1060,0.6666666666666666,0.25,0.36363636363636365,3,8
1061,0.0,0.0,0,3,1
1062,0,0.0,0,0,3
1063,0.5,0.5,0.5,2,2
1064,0.0,0.0,0,1,1
1068,1.0,0.1,0.18181818181818182,1,10
1069,0.5,1.0,0.6666666666666666,2,1
1070,1.0,1.0,1.0,5,5
1071,0,0.0,0,0,6
1072,0.0,0.0,0,5,3
1073,0.0,0.0,0,2,1
1074,0,0.0,0,0,1
