id,precision,recall,f1_score,agent_refactoring_count,oracle_count
500,0.4,1.0,0.5714285714285715,5,2
502,0.4,0.5454545454545454,0.4615384615384615,15,11
503,0.0,0.0,0,2,4
504,0,0.0,0,0,1
506,0.5,0.6666666666666666,0.5714285714285715,4,3
507,0.25,0.6666666666666666,0.36363636363636365,8,3
508,1.0,0.5,0.6666666666666666,3,6
511,0.8,1.0,0.888888888888889,10,8
512,0.5,1.0,0.6666666666666666,2,1
516,1.0,1.0,1.0,1,1
517,0.25,1.0,0.4,4,1
518,1.0,1.0,1.0,2,2
519,1.0,1.0,1.0,1,1
520,0.5,1.0,0.6666666666666666,2,1
521,0.5,1.0,0.6666666666666666,2,1
522,0.5,1.0,0.6666666666666666,2,1
523,0.05263157894736842,1.0,0.1,19,1
524,1.0,1.0,1.0,1,1
525,1.0,0.5,0.6666666666666666,1,2
526,1.0,1.0,1.0,4,4
527,0.3181818181818182,1.0,0.4827586206896552,22,7
528,0.5,0.14285714285714285,0.22222222222222224,2,7
529,0.6666666666666666,1.0,0.8,3,2
530,0.3333333333333333,1.0,0.5,3,1
531,1.0,1.0,1.0,1,1
532,1.0,1.0,1.0,1,1
533,0.75,1.0,0.8571428571428571,4,3
534,0.3333333333333333,1.0,0.5,3,1
535,1.0,1.0,1.0,1,1
536,0,0.0,0,0,2
537,0,0.0,0,0,2
538,1.0,1.0,1.0,1,1
539,1.0,1.0,1.0,1,1
540,0.0,0.0,0,1,3
541,0.5,1.0,0.6666666666666666,2,1
542,1.0,0.25,0.4,1,4
543,0.0,0.0,0,1,1
544,0.9736842105263158,0.8809523809523809,0.925,38,42
545,0.1111111111111111,1.0,0.19999999999999998,9,1
547,0.5,1.0,0.6666666666666666,2,1
548,1.0,1.0,1.0,1,1
549,1.0,1.0,1.0,2,2
550,0,0.0,0,0,1
551,0.0,0.0,0,1,1
552,1.0,0.4,0.5714285714285715,2,5
553,0,0.0,0,0,8
554,0.8333333333333334,0.7142857142857143,0.7692307692307692,6,7
555,1.0,0.0625,0.11764705882352941,1,16
556,0,0.0,0,0,7
557,0.0,0.0,0,4,9
558,0,0.0,0,0,18
559,0,0.0,0,0,2
560,0.3333333333333333,1.0,0.5,3,1
561,1.0,0.3333333333333333,0.5,1,3
562,0.26666666666666666,0.5,0.3478260869565218,15,8
563,0.3333333333333333,0.5,0.4,3,2
564,0.3333333333333333,1.0,0.5,3,1
565,1.0,1.0,1.0,1,1
566,0,0.0,0,0,3
567,0.3333333333333333,1.0,0.5,12,4
568,0.5,0.75,0.6,6,4
569,0.4,0.4,0.4000000000000001,5,5
570,0.5,1.0,0.6666666666666666,2,1
571,0.6666666666666666,1.0,0.8,3,2
573,1.0,1.0,1.0,1,1
575,0.375,1.0,0.5454545454545454,8,3
576,0.0,0.0,0,2,1
577,0.0,0.0,0,1,1
578,0,0.0,0,0,5
579,0.3333333333333333,1.0,0.5,3,1
580,1.0,1.0,1.0,1,1
581,0.45454545454545453,0.45454545454545453,0.45454545454545453,11,11
582,0.0,0.0,0,3,4
583,0.5,0.16666666666666666,0.25,2,6
585,1.0,0.4,0.5714285714285715,2,5
586,0,0.0,0,0,1
587,0.8333333333333334,0.5555555555555556,0.6666666666666667,6,9
588,0.5,1.0,0.6666666666666666,6,3
589,0.7777777777777778,1.0,0.8750000000000001,9,7
590,0.5,1.0,0.6666666666666666,2,1
591,0.0,0.0,0,1,4
592,1.0,1.0,1.0,1,1
593,1.0,1.0,1.0,1,1
594,1.0,1.0,1.0,1,1
595,1.0,1.0,1.0,2,2
596,0.6666666666666666,1.0,0.8,3,2
597,1.0,1.0,1.0,1,1
598,0.125,0.3333333333333333,0.18181818181818182,8,3
599,1.0,0.8888888888888888,0.9411764705882353,8,9
601,0.25,0.5,0.3333333333333333,4,2
602,0.25,0.14285714285714285,0.18181818181818182,4,7
603,1.0,1.0,1.0,1,1
604,1.0,1.0,1.0,2,2
605,0.5,1.0,0.6666666666666666,2,1
606,0,0.0,0,0,1
607,0.5,0.5,0.5,2,2
608,0.0,0.0,0,1,1
609,0,0.0,0,0,1
610,1.0,0.5714285714285714,0.7272727272727273,4,7
611,0.5,1.0,0.6666666666666666,2,1
612,0.5,0.2,0.28571428571428575,2,5
613,0.3333333333333333,0.5,0.4,3,2
614,1.0,0.7142857142857143,0.8333333333333333,5,7
615,0.1,0.3333333333333333,0.15384615384615383,10,3
616,0.09090909090909091,0.5,0.15384615384615385,11,2
617,0.5333333333333333,1.0,0.6956521739130436,15,8
618,0.0,0.0,0,6,1
619,0.25,1.0,0.4,4,1
620,1.0,1.0,1.0,6,6
621,1.0,0.5,0.6666666666666666,1,2
622,0.2727272727272727,1.0,0.42857142857142855,11,3
623,0.5,0.5,0.5,2,2
624,1.0,0.5,0.6666666666666666,1,2
625,0.25,1.0,0.4,4,1
627,1.0,1.0,1.0,1,1
628,0.25,1.0,0.4,8,2
629,0.5,1.0,0.6666666666666666,2,1
631,0,0.0,0,0,1
632,0.0,0.0,0,1,3
633,0,0.0,0,0,2
634,1.0,1.0,1.0,13,13
635,0.3333333333333333,0.2857142857142857,0.30769230769230765,6,7
636,0.05263157894736842,0.2,0.08333333333333333,19,5
637,0.8571428571428571,0.5,0.631578947368421,7,12
638,0.25,0.42857142857142855,0.3157894736842105,12,7
639,1.0,1.0,1.0,2,2
640,1.0,1.0,1.0,2,2
641,1.0,1.0,1.0,1,1
642,1.0,1.0,1.0,1,1
643,0.3333333333333333,1.0,0.5,3,1
644,0.25,1.0,0.4,4,1
646,0.5,1.0,0.6666666666666666,2,1
648,0,0.0,0,0,1
649,0.25,1.0,0.4,4,1
650,0.7142857142857143,0.625,0.6666666666666666,7,8
651,1.0,0.014285714285714285,0.028169014084507043,1,70
652,0.4,0.4,0.4000000000000001,5,5
653,0.4,0.25,0.3076923076923077,5,8
654,0,0.0,0,0,1
655,0.3333333333333333,1.0,0.5,3,1
656,0.25,1.0,0.4,4,1
657,1.0,1.0,1.0,2,2
658,1.0,0.8571428571428571,0.923076923076923,6,7
659,0.0,0.0,0,1,3
660,0.14285714285714285,1.0,0.25,7,1
661,0.0,0.0,0,1,1
662,1.0,0.3333333333333333,0.5,3,9
663,1.0,1.0,1.0,1,1
664,0.0,0.0,0,18,1
665,0.5,1.0,0.6666666666666666,2,1
666,0.0,0.0,0,2,1
667,0,0.0,0,0,2
668,0,0.0,0,0,3
669,0.14285714285714285,0.6666666666666666,0.23529411764705882,28,6
670,0,0.0,0,0,1
671,0.3333333333333333,0.5,0.4,3,2
672,0.5714285714285714,1.0,0.7272727272727273,7,4
674,0.5,1.0,0.6666666666666666,2,1
675,1.0,0.3333333333333333,0.5,1,3
676,0.6666666666666666,1.0,0.8,3,2
677,0.5,0.5,0.5,2,2
678,0,0.0,0,0,3
681,1.0,0.6,0.7499999999999999,3,5
682,0.0,0.0,0,1,1
685,0,0.0,0,0,3
686,0.0,0.0,0,1,1
688,0.0,0.0,0,5,1
689,0.3333333333333333,0.14285714285714285,0.2,3,7
690,0,0.0,0,0,2
691,1.0,0.5555555555555556,0.7142857142857143,5,9
692,0.0,0.0,0,11,1
693,0,0.0,0,0,3
694,1.0,1.0,1.0,5,5
695,0.8333333333333334,0.5,0.625,6,10
696,1.0,0.875,0.9333333333333333,7,8
697,1.0,1.0,1.0,3,3
698,1.0,0.625,0.7692307692307693,5,8
699,0.5,1.0,0.6666666666666666,2,1
701,0.6,0.75,0.6666666666666665,10,8
702,0.3333333333333333,0.07142857142857142,0.11764705882352941,3,14
703,0.0,0.0,0,7,2
704,1.0,1.0,1.0,1,1
705,1.0,1.0,1.0,3,3
706,0.5,0.17647058823529413,0.2608695652173913,6,17
707,0.45454545454545453,0.8333333333333334,0.5882352941176471,11,6
708,0,0.0,0,0,2
709,0.5789473684210527,0.3548387096774194,0.44000000000000006,19,31
710,0,0.0,0,0,1
711,0,0.0,0,0,2
712,0.5,1.0,0.6666666666666666,2,1
714,0.06666666666666667,1.0,0.125,15,1
715,0,0.0,0,0,1
716,1.0,0.9090909090909091,0.9523809523809523,10,11
717,0.16666666666666666,0.07692307692307693,0.10526315789473684,6,13
718,1.0,1.0,1.0,1,1
720,0.0,0.0,0,6,14
721,0.6666666666666666,0.3333333333333333,0.4444444444444444,3,6
722,1.0,1.0,1.0,1,1
724,0.0,0.0,0,2,3
725,1.0,1.0,1.0,1,1
726,0.0,0.0,0,1,1
727,1.0,1.0,1.0,1,1
728,0.25,1.0,0.4,4,1
729,1.0,1.0,1.0,1,1
730,0,0.0,0,0,3
731,1.0,1.0,1.0,2,2
732,0.0,0.0,0,2,13
733,0.5,1.0,0.6666666666666666,4,2
734,1.0,1.0,1.0,2,2
735,0.5,1.0,0.6666666666666666,2,1
736,1.0,1.0,1.0,1,1
737,0.0,0.0,0,3,1
738,0.0,0.0,0,1,10
739,1.0,1.0,1.0,1,1
740,0.16216216216216217,0.8571428571428571,0.27272727272727276,37,7
741,1.0,1.0,1.0,3,3
742,0,0.0,0,0,1
744,0,0.0,0,0,5
745,1.0,1.0,1.0,3,3
746,0,0.0,0,0,1
748,1.0,0.8,0.888888888888889,4,5
749,0,0.0,0,0,1
750,0,0.0,0,0,1
751,1.0,0.5,0.6666666666666666,2,4
752,0.0,0.0,0,1,1
753,0.3333333333333333,1.0,0.5,3,1
