id,precision,recall,f1_score,agent_refactoring_count,oracle_count
900,0.0,0.0,0,12,1
901,0.25,0.125,0.16666666666666666,4,8
902,0,0.0,0,0,4
903,0.0,0.0,0,7,1
904,0.0,0.0,0,8,3
905,1.0,0.3333333333333333,0.5,1,3
908,0.0,0.0,0,1,1
909,0,0.0,0,0,2
910,0.0,0.0,0,1,2
911,0,0.0,0,0,1
912,0,0.0,0,0,3
913,1.0,1.0,1.0,1,1
915,0.0,0.0,0,1,2
916,0.5,1.0,0.6666666666666666,2,1
917,0,0.0,0,0,1
920,0.0,0.0,0,1,12
921,0.0,0.0,0,2,25
922,0.0,0.0,0,3,1
923,0,0.0,0,0,1
924,0.0,0.0,0,1,1
925,0,0.0,0,0,1
926,0.0,0.0,0,1,1
928,0,0.0,0,0,1
929,0,0.0,0,0,1
930,0.5,0.3333333333333333,0.4,2,3
931,0,0.0,0,0,1
932,0.25,1.0,0.4,4,1
934,1.0,1.0,1.0,1,1
935,0,0.0,0,0,1
936,0,0.0,0,0,3
939,0,0.0,0,0,3
940,0.1111111111111111,1.0,0.19999999999999998,9,1
941,0.0,0.0,0,3,2
942,1.0,1.0,1.0,4,4
943,0.0,0.0,0,3,1
944,0,0.0,0,0,1
946,0.047619047619047616,1.0,0.0909090909090909,21,1
947,0.0,0.0,0,4,4
948,0,0.0,0,0,5
949,0.5,1.0,0.6666666666666666,2,1
951,0.0,0.0,0,2,1
952,0.01818181818181818,0.3333333333333333,0.034482758620689655,55,3
954,0.45454545454545453,1.0,0.625,22,10
955,0.0,0.0,0,2,1
956,0,0.0,0,0,1
957,0.0,0.0,0,1,2
958,0.0,0.0,0,1,1
959,0.0,0.0,0,2,1
960,0.15384615384615385,1.0,0.2666666666666667,13,2
961,0.8,1.0,0.888888888888889,5,4
962,0.0,0.0,0,2,28
963,1.0,0.0625,0.11764705882352941,1,16
964,1.0,1.0,1.0,1,1
965,0.3333333333333333,1.0,0.5,3,1
966,0.6666666666666666,1.0,0.8,3,2
967,0.5,0.6666666666666666,0.5714285714285715,4,3
968,0.5,1.0,0.6666666666666666,4,2
970,0,0.0,0,0,1
971,0.0,0.0,0,8,2
973,0.3333333333333333,1.0,0.5,3,1
974,0.0,0.0,0,1,5
975,1.0,0.2857142857142857,0.4444444444444445,4,14
976,1.0,0.5,0.6666666666666666,1,2
977,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,3
978,0.5,1.0,0.6666666666666666,2,1
979,1.0,1.0,1.0,1,1
980,0,0.0,0,0,1
981,1.0,0.5,0.6666666666666666,1,2
982,0.0,0.0,0,1,8
983,0.0,0.0,0,1,1
984,0,0.0,0,0,3
986,0.125,1.0,0.2222222222222222,8,1
987,0.0,0.0,0,1,1
988,0,0.0,0,0,1
991,0.6,1.0,0.7499999999999999,5,3
992,0.5,1.0,0.6666666666666666,2,1
995,0,0.0,0,0,1
996,0.11764705882352941,1.0,0.21052631578947367,17,2
997,0.4,1.0,0.5714285714285715,5,2
999,0.0,0.0,0,3,1
1000,1.0,0.5,0.6666666666666666,1,2
1002,1.0,0.6666666666666666,0.8,2,3
1003,0.0,0.0,0,1,1
1004,1.0,1.0,1.0,10,10
1005,1.0,0.4375,0.6086956521739131,7,16
1006,1.0,0.5,0.6666666666666666,1,2
1008,0,0.0,0,0,30
1009,1.0,0.25,0.4,1,4
1010,0.3333333333333333,0.2857142857142857,0.30769230769230765,6,7
1011,1.0,0.25,0.4,3,12
1012,0,0.0,0,0,1
1013,0.5,0.5,0.5,2,2
1014,0.0,0.0,0,1,3
1015,0.5,1.0,0.6666666666666666,2,1
1016,0.2,1.0,0.33333333333333337,5,1
1017,0,0.0,0,0,1
1018,0.0,0.0,0,2,7
1019,0.0,0.0,0,5,7
1020,0.0,0.0,0,1,2
1021,0.1111111111111111,1.0,0.19999999999999998,9,1
1022,0.0,0.0,0,2,4
1023,0.6,1.0,0.7499999999999999,5,3
1024,1.0,1.0,1.0,1,1
1025,1.0,1.0,1.0,1,1
1026,1.0,0.6666666666666666,0.8,2,3
1027,0.0,0.0,0,1,1
1028,0.5,1.0,0.6666666666666666,2,1
1029,0,0.0,0,0,1
1030,0.0,0.0,0,3,5
1031,0.0,0.0,0,1,5
1032,0.6666666666666666,1.0,0.8,6,4
