id,precision,recall,f1_score,agent_refactoring_count,oracle_count
500,0.5,0.5,0.5,2,2
502,0,0.0,0,0,11
503,0.5,0.25,0.3333333333333333,2,4
504,0,0.0,0,0,1
506,0,0.0,0,0,3
507,0.0,0.0,0,1,3
508,0,0.0,0,0,6
510,0,0.0,0,0,1
511,1.0,0.75,0.8571428571428571,6,8
512,0.5,1.0,0.6666666666666666,2,1
516,1.0,1.0,1.0,1,1
517,0.5,1.0,0.6666666666666666,2,1
518,0,0.0,0,0,2
519,1.0,1.0,1.0,1,1
520,0.0,0.0,0,2,1
521,0.5,1.0,0.6666666666666666,2,1
522,0,0.0,0,0,1
523,0.2,1.0,0.33333333333333337,5,1
524,1.0,1.0,1.0,1,1
525,1.0,0.5,0.6666666666666666,1,2
526,1.0,0.25,0.4,1,4
527,1.0,0.14285714285714285,0.25,1,7
528,1.0,0.2857142857142857,0.4444444444444445,2,7
529,0.3333333333333333,1.0,0.5,6,2
530,1.0,1.0,1.0,1,1
531,0,0.0,0,0,2
532,0.3333333333333333,1.0,0.5,3,1
533,0.5,0.3333333333333333,0.4,2,3
534,1.0,1.0,1.0,1,1
535,1.0,1.0,1.0,1,1
536,0,0.0,0,0,1
537,1.0,1.0,1.0,2,2
538,1.0,1.0,1.0,1,1
539,1.0,1.0,1.0,1,1
540,0.0,0.0,0,1,3
541,0,0.0,0,0,1
542,1.0,0.25,0.4,1,4
543,0.5,1.0,0.6666666666666666,2,1
544,0,0.0,0,0,42
545,1.0,1.0,1.0,1,1
547,0,0.0,0,0,1
548,1.0,1.0,1.0,1,1
549,0,0.0,0,0,2
550,0,0.0,0,0,1
551,0.0,0.0,0,1,1
552,1.0,0.2,0.33333333333333337,1,5
553,0,0.0,0,0,8
554,1.0,0.14285714285714285,0.25,1,7
555,0,0.0,0,0,16
556,0,0.0,0,0,7
557,0.0,0.0,0,1,9
558,0,0.0,0,0,18
559,0,0.0,0,0,2
560,0.3333333333333333,1.0,0.5,3,1
561,0,0.0,0,0,3
562,0.8,1.0,0.888888888888889,10,8
563,0.5,0.5,0.5,2,2
564,1.0,1.0,1.0,1,1
565,0,0.0,0,0,1
566,0,0.0,0,0,3
567,0.07692307692307693,0.25,0.11764705882352941,13,4
568,1.0,0.25,0.4,1,4
569,0,0.0,0,0,5
570,1.0,1.0,1.0,1,1
571,0,0.0,0,0,2
573,0,0.0,0,0,1
575,1.0,0.3333333333333333,0.5,1,3
576,1.0,1.0,1.0,1,1
577,0.0,0.0,0,1,1
578,1.0,0.2,0.33333333333333337,1,5
579,1.0,1.0,1.0,1,1
580,1.0,1.0,1.0,1,1
581,0.0,0.0,0,1,11
582,0,0.0,0,0,4
583,1.0,0.8333333333333334,0.9090909090909091,5,6
585,1.0,0.4,0.5714285714285715,2,5
586,0,0.0,0,0,1
587,1.0,0.1111111111111111,0.19999999999999998,1,9
588,1.0,1.0,1.0,3,3
589,1.0,0.42857142857142855,0.6,3,7
590,1.0,1.0,1.0,1,1
591,0.0,0.0,0,1,4
592,1.0,1.0,1.0,1,1
593,0.3333333333333333,1.0,0.5,3,1
594,1.0,1.0,1.0,1,1
595,1.0,1.0,1.0,2,2
596,1.0,0.5,0.6666666666666666,1,2
597,1.0,1.0,1.0,1,1
598,1.0,0.3333333333333333,0.5,1,3
599,1.0,0.2222222222222222,0.3636363636363636,2,9
601,0.3333333333333333,0.5,0.4,3,2
602,0.0,0.0,0,1,7
603,1.0,1.0,1.0,1,1
604,1.0,1.0,1.0,2,2
605,0.5,1.0,0.6666666666666666,2,1
606,0,0.0,0,0,1
607,0.6666666666666666,1.0,0.8,3,2
608,0.0,0.0,0,1,1
609,0,0.0,0,0,1
610,1.0,0.2857142857142857,0.4444444444444445,2,7
611,1.0,1.0,1.0,1,1
612,0,0.0,0,0,5
613,0.25,0.5,0.3333333333333333,4,2
614,1.0,0.42857142857142855,0.6,3,7
615,1.0,0.3333333333333333,0.5,1,3
616,0.6666666666666666,1.0,0.8,3,2
617,0.8,1.0,0.888888888888889,10,8
618,0,0.0,0,0,1
619,1.0,1.0,1.0,1,1
620,1.0,0.6666666666666666,0.8,4,6
621,1.0,0.5,0.6666666666666666,1,2
622,0.3,1.0,0.4615384615384615,10,3
623,1.0,1.0,1.0,2,2
624,0,0.0,0,0,2
625,1.0,1.0,1.0,1,1
627,1.0,1.0,1.0,1,1
628,1.0,0.5,0.6666666666666666,1,2
629,1.0,1.0,1.0,1,1
632,0.0,0.0,0,1,3
633,0,0.0,0,0,2
634,1.0,0.07692307692307693,0.14285714285714288,1,13
635,0.0,0.0,0,1,7
636,0.5,0.2,0.28571428571428575,2,5
637,0.8571428571428571,0.5,0.631578947368421,7,12
638,0.42857142857142855,0.42857142857142855,0.42857142857142855,7,7
639,1.0,1.0,1.0,2,2
640,0,0.0,0,0,2
641,1.0,1.0,1.0,1,1
642,0,0.0,0,0,1
643,0.0,0.0,0,1,1
644,0.0,0.0,0,1,1
646,1.0,1.0,1.0,1,1
648,0,0.0,0,0,1
649,0.0,0.0,0,2,1
650,1.0,0.375,0.5454545454545454,3,8
651,1.0,0.014285714285714285,0.028169014084507043,1,70
652,1.0,0.2,0.33333333333333337,1,5
653,0.25,0.125,0.16666666666666666,4,8
654,0,0.0,0,0,1
655,1.0,1.0,1.0,1,1
656,0.5,1.0,0.6666666666666666,2,1
657,1.0,0.5,0.6666666666666666,1,2
658,1.0,0.14285714285714285,0.25,1,7
659,1.0,0.3333333333333333,0.5,1,3
660,1.0,1.0,1.0,1,1
661,0.0,0.0,0,1,1
662,1.0,0.1111111111111111,0.19999999999999998,1,9
663,1.0,1.0,1.0,1,1
664,0.2,1.0,0.33333333333333337,5,1
665,1.0,1.0,1.0,1,1
666,0,0.0,0,0,1
667,0,0.0,0,0,2
668,0.0,0.0,0,1,3
669,0.1111111111111111,0.16666666666666666,0.13333333333333333,9,6
670,0,0.0,0,0,1
671,1.0,0.5,0.6666666666666666,1,2
672,1.0,0.25,0.4,1,4
674,0,0.0,0,0,1
675,0,0.0,0,0,3
676,0.2222222222222222,1.0,0.3636363636363636,9,2
677,1.0,0.5,0.6666666666666666,1,2
678,0,0.0,0,0,3
681,1.0,0.6,0.7499999999999999,3,5
682,0.0,0.0,0,1,1
685,0,0.0,0,0,3
686,0.0,0.0,0,1,1
688,0.5,1.0,0.6666666666666666,2,1
689,0.5,0.14285714285714285,0.22222222222222224,2,7
690,0.5,0.5,0.5,2,2
691,1.0,0.2222222222222222,0.3636363636363636,2,9
692,0.0,0.0,0,1,1
693,0.0,0.0,0,4,2
694,1.0,0.2,0.33333333333333337,1,5
695,1.0,0.1,0.18181818181818182,1,10
696,1.0,0.375,0.5454545454545454,3,8
697,1.0,0.3333333333333333,0.5,1,3
698,0,0.0,0,0,8
699,1.0,1.0,1.0,1,1
701,0.7777777777777778,0.875,0.823529411764706,9,8
702,0,0.0,0,0,14
703,0.5,1.0,0.6666666666666666,4,2
704,1.0,1.0,1.0,1,1
705,1.0,0.3333333333333333,0.5,1,3
706,0.5,0.058823529411764705,0.10526315789473684,2,17
707,1.0,0.8333333333333334,0.9090909090909091,5,6
708,0,0.0,0,0,2
709,0.0,0.0,0,1,31
710,0,0.0,0,0,1
711,1.0,0.5,0.6666666666666666,1,2
712,0,0.0,0,0,1
714,1.0,1.0,1.0,1,1
715,0.0,0.0,0,1,1
716,1.0,0.6363636363636364,0.7777777777777778,7,11
717,0.0,0.0,0,1,13
718,1.0,1.0,1.0,1,1
720,0,0.0,0,0,15
721,0,0.0,0,0,6
722,0,0.0,0,0,1
724,1.0,0.3333333333333333,0.5,1,3
725,0,0.0,0,0,1
726,0.0,0.0,0,3,1
727,1.0,1.0,1.0,1,1
728,1.0,1.0,1.0,1,1
729,1.0,1.0,1.0,1,1
730,0,0.0,0,0,3
731,0,0.0,0,0,2
732,0,0.0,0,0,13
733,0,0.0,0,0,2
734,1.0,0.5,0.6666666666666666,1,2
735,0.5,1.0,0.6666666666666666,2,1
736,1.0,1.0,1.0,1,1
737,0.3333333333333333,1.0,0.5,3,1
738,0,0.0,0,0,10
739,1.0,1.0,1.0,1,1
740,0.0,0.0,0,1,7
741,0,0.0,0,0,3
742,0,0.0,0,0,1
744,0,0.0,0,0,5
745,0,0.0,0,0,3
746,0,0.0,0,0,1
748,1.0,0.4,0.5714285714285715,2,5
749,0,0.0,0,0,1
750,0.0,0.0,0,1,1
751,0,0.0,0,0,4
752,0.0,0.0,0,2,1
753,1.0,1.0,1.0,1,1
754,1.0,1.0,1.0,1,1
755,0.0,0.0,0,1,2
756,0,0.0,0,0,1
757,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,3
758,1.0,0.6666666666666666,0.8,6,9
759,0.0,0.0,0,2,13
760,1.0,1.0,1.0,1,1
762,1.0,0.2222222222222222,0.3636363636363636,2,9
764,1.0,0.3333333333333333,0.5,1,3
765,1.0,1.0,1.0,1,1
766,0.5,0.25,0.3333333333333333,2,4
767,1.0,0.5,0.6666666666666666,1,2
768,1.0,0.3333333333333333,0.5,1,3
769,0,0.0,0,0,2
770,1.0,1.0,1.0,1,1
771,1.0,0.6666666666666666,0.8,2,3
772,1.0,0.3333333333333333,0.5,1,3
773,0.3333333333333333,0.5555555555555556,0.4166666666666667,15,9
774,1.0,1.0,1.0,2,2
775,0.0,0.0,0,7,1
776,0.3333333333333333,0.5,0.4,3,2
777,0.09090909090909091,1.0,0.16666666666666669,11,1
778,1.0,0.3333333333333333,0.5,1,3
779,1.0,0.18181818181818182,0.3076923076923077,2,11
781,1.0,0.4,0.5714285714285715,2,5
782,1.0,0.2,0.33333333333333337,1,5
783,1.0,1.0,1.0,1,1
784,1.0,1.0,1.0,1,1
785,0.3333333333333333,1.0,0.5,3,1
786,0,0.0,0,0,3
787,0.0,0.0,0,2,1
788,0.5,1.0,0.6666666666666666,2,1
789,1.0,1.0,1.0,1,1
791,1.0,0.2,0.33333333333333337,1,5
792,1.0,0.3333333333333333,0.5,1,3
794,0,0.0,0,0,1
795,1.0,1.0,1.0,1,1
797,0,0.0,0,0,2
798,1.0,0.047619047619047616,0.0909090909090909,1,21
799,1.0,1.0,1.0,1,1
800,0.3333333333333333,1.0,0.5,3,1
801,0.0,0.0,0,1,1
803,1.0,0.2857142857142857,0.4444444444444445,2,7
804,1.0,1.0,1.0,1,1
805,0.0,0.0,0,1,2
806,1.0,0.2727272727272727,0.42857142857142855,3,11
807,0.0,0.0,0,1,1
808,1.0,0.5,0.6666666666666666,1,2
809,1.0,1.0,1.0,1,1
810,1.0,1.0,1.0,1,1
811,1.0,0.5,0.6666666666666666,4,8
812,1.0,0.5,0.6666666666666666,1,2
813,1.0,0.16666666666666666,0.2857142857142857,1,6
814,0,0.0,0,0,9
815,0.6666666666666666,1.0,0.8,3,2
816,0,0.0,0,0,8
817,0,0.0,0,0,2
818,0,0.0,0,0,1
819,0.0,0.0,0,1,1
820,0.3333333333333333,1.0,0.5,3,1
821,0,0.0,0,0,8
822,1.0,1.0,1.0,1,1
823,0,0.0,0,0,2
824,0.0,0.0,0,1,1
826,0.0,0.0,0,1,1
