id,precision,recall,f1_score,agent_refactoring_count,oracle_count
102071,0.0,0.0,0,1,2
102072,0.0,0.0,0,1,2
102091,0,0.0,0,0,2
102101,0,0.0,0,0,5
102111,0.0,0.0,0,14,2
102121,0.0,0.0,0,1,4
102122,0.4,0.6666666666666666,0.5,5,3
102123,0.2,0.6666666666666666,0.30769230769230765,10,3
102171,0,0.0,0,0,1
102172,0,0.0,0,0,1
102173,1.0,1.0,1.0,1,1
102174,0,0.0,0,0,2
102191,0,0.0,0,0,3
112601,1.0,0.2,0.33333333333333337,1,5
112621,0.5,1.0,0.6666666666666666,2,1
112641,1.0,0.02,0.0392156862745098,1,50
112651,1.0,0.1724137931034483,0.29411764705882354,5,29
112661,0.75,0.2727272727272727,0.39999999999999997,4,11
112662,0.0,0.0,0,4,1
112681,1.0,0.125,0.2222222222222222,1,8
112691,0.5,0.2,0.28571428571428575,2,5
112692,0,0.0,0,0,5
112701,0.0,0.0,0,3,3
112702,0.0,0.0,0,2,6
112703,0.0,0.0,0,1,1
112721,1.0,1.0,1.0,2,2
112722,0.5,0.5,0.5,2,2
112723,0.2,0.5,0.28571428571428575,5,2
112724,1.0,1.0,1.0,2,2
112725,0.6666666666666666,1.0,0.8,3,2
112726,1.0,1.0,1.0,1,1
112727,1.0,1.0,1.0,1,1
112741,1.0,0.7,0.8235294117647058,7,10
116351,0,0.0,0,0,5
116352,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,3
116353,0,0.0,0,0,3
117351,1.0,1.0,1.0,2,2
117352,0,0.0,0,0,3
118071,0,0.0,0,0,3
118201,0.4,1.0,0.5714285714285715,5,2
118202,0.5,0.3333333333333333,0.4,2,3
119621,1.0,0.3333333333333333,0.5,1,3
119622,0,0.0,0,0,2
119831,1.0,0.04,0.07692307692307693,1,25
120641,0,0.0,0,0,1
121521,1.0,1.0,1.0,1,1
121522,1.0,1.0,1.0,1,1
121523,1.0,1.0,1.0,1,1
121524,0,0.0,0,0,2
121525,1.0,1.0,1.0,1,1
122381,1.0,0.2,0.33333333333333337,1,5
132341,0.0,0.0,0,1,1
132342,1.0,1.0,1.0,1,1
132343,1.0,1.0,1.0,1,1
132344,0.0,0.0,0,1,4
132451,0,0.0,0,0,11
132452,0.3333333333333333,1.0,0.5,3,1
132481,0.0,0.0,0,1,2
132482,0,0.0,0,0,2
132483,1.0,0.25,0.4,1,4
