id,precision,recall,f1_score,agent_refactoring_count,oracle_count
102071,0.0,0.0,0,1,2
102072,0.0,0.0,0,1,2
102091,1.0,1.0,1.0,2,2
102101,0.0,0.0,0,1,5
102111,0.0,0.0,0,16,2
102121,0.0,0.0,0,4,4
102122,0.2857142857142857,0.6666666666666666,0.4,7,3
102123,0.25,1.0,0.4,12,3
102171,0,0.0,0,0,1
102172,0.0,0.0,0,1,1
102173,1.0,1.0,1.0,1,1
102174,0,0.0,0,0,2
102191,0,0.0,0,0,3
112601,1.0,0.2,0.33333333333333337,1,5
112621,0.5,1.0,0.6666666666666666,2,1
112641,0.6,0.12,0.19999999999999998,10,50
112651,1.0,0.1724137931034483,0.29411764705882354,5,29
112661,0.75,0.2727272727272727,0.39999999999999997,4,11
112662,0.0,0.0,0,4,1
112681,1.0,0.125,0.2222222222222222,1,8
112691,0.5,0.4,0.4444444444444445,4,5
112692,0,0.0,0,0,5
112701,0.06666666666666667,0.3333333333333333,0.1111111111111111,15,3
112702,0.045454545454545456,0.16666666666666666,0.07142857142857144,22,6
112703,0.0,0.0,0,1,1
112721,0.4,1.0,0.5714285714285715,5,2
112722,0.1,0.5,0.16666666666666669,10,2
112723,0.2,1.0,0.33333333333333337,10,2
112724,1.0,1.0,1.0,2,2
112725,0.6666666666666666,1.0,0.8,3,2
112726,0.5,1.0,0.6666666666666666,2,1
112727,0.2,1.0,0.33333333333333337,5,1
112741,1.0,0.9,0.9473684210526316,9,10
116351,0.5,0.2,0.28571428571428575,2,5
116352,0.05555555555555555,0.3333333333333333,0.09523809523809525,18,3
116353,1.0,0.3333333333333333,0.5,1,3
117351,0.6666666666666666,1.0,0.8,3,2
117352,0,0.0,0,0,3
118071,0.0,0.0,0,2,3
118201,0.16666666666666666,1.0,0.2857142857142857,12,2
118202,0.5,0.3333333333333333,0.4,2,3
119621,1.0,0.3333333333333333,0.5,1,3
119622,0,0.0,0,0,2
119831,1.0,0.36,0.5294117647058824,9,25
120641,0,0.0,0,0,1
121521,1.0,1.0,1.0,1,1
121522,0.2,1.0,0.33333333333333337,5,1
121523,0.0,0.0,0,1,2
121524,0.0,0.0,0,2,2
121525,0.5,1.0,0.6666666666666666,2,1
122381,1.0,0.4,0.5714285714285715,2,5
132341,0.0,0.0,0,1,1
132342,1.0,1.0,1.0,1,1
132343,1.0,1.0,1.0,1,1
132344,0.0,0.0,0,1,4
132451,0,0.0,0,0,11
132452,0.3333333333333333,1.0,0.5,3,1
132481,0.0,0.0,0,1,2
132482,0,0.0,0,0,2
132483,1.0,0.5,0.6666666666666666,2,4
