id,precision,recall,f1_score,oracle_count,agent_refactoring_count
100601,0,0.0,0,21,0
100781,0.0,0.0,0,38,53
100801,1.0,1.0,1.0,1,1
100802,0.3333333333333333,1.0,0.5,1,3
100831,1.0,0.16279069767441862,0.28,43,7
103391,0.1111111111111111,0.5,0.1818181818181818,2,9
103392,0.1,0.16666666666666666,0.125,6,10
103501,0.6666666666666666,0.42857142857142855,0.5217391304347826,14,9
103801,0.5,0.2,0.28571428571428575,5,2
103802,0.0,0.0,0,2,2
103803,0.0,0.0,0,1,3
103804,0.0,0.0,0,1,2
103805,0.0,0.0,0,1,1
103806,0.0,0.0,0,1,3
103807,0.5,1.0,0.6666666666666666,1,2
103861,0.5,0.3333333333333333,0.4,3,2
103862,0.1111111111111111,0.5,0.1818181818181818,2,9
103863,0.14285714285714285,1.0,0.25,1,7
103864,0.0,0.0,0,1,2
104061,0.0,0.0,0,2,1
104151,0.25,1.0,0.4,2,8
104152,0.0,0.0,0,2,6
104153,0.0,0.0,0,1,4
104154,0.0,0.0,0,1,10
112051,0.0,0.0,0,3,1
112921,1.0,1.0,1.0,1,1
112928,0.0,0.0,0,1,1
112929,0.0,0.0,0,1,1
113011,1.0,0.2,0.33333333333333337,5,1
113012,1.0,0.5,0.6666666666666666,4,2
114311,0.125,1.0,0.2222222222222222,1,8
114921,1.0,1.0,1.0,1,1
114922,0.3333333333333333,1.0,0.5,1,3
114941,1.0,0.2222222222222222,0.3636363636363636,9,2
114951,0.5,1.0,0.6666666666666666,1,2
114952,1.0,1.0,1.0,1,1
115121,0.6666666666666666,0.4444444444444444,0.5333333333333333,9,6
115122,0.0,0.0,0,1,1
115123,0.25,1.0,0.4,1,4
115124,0.0,0.0,0,2,1
115125,0.5,1.0,0.6666666666666666,1,2
115126,0.0,0.0,0,1,1
115127,0.0,0.0,0,1,1
115128,0.0,0.0,0,1,1
115129,0.0,0.0,0,1,3
115130,0.0,0.0,0,1,1
115671,0.0,0.0,0,15,4
115691,0.14285714285714285,0.1,0.11764705882352941,20,14
115692,0,0.0,0,2,0
115693,0.0,0.0,0,1,1
116371,0.42857142857142855,0.6,0.5,5,7
116372,0.6,0.6,0.6,5,5
116373,0.8,0.5,0.6153846153846154,4,5
116374,0.8,0.5,0.6153846153846154,4,5
116375,1.0,0.3333333333333333,0.5,3,1
116391,0.2222222222222222,1.0,0.3636363636363636,2,9
116392,0.3333333333333333,1.0,0.5,1,6
117401,0.0,0.0,0,6,11
118241,0.0,0.0,0,7,7
119851,0.25,1.0,0.4,1,4
120871,0.0,0.0,0,2,1
120872,0.2,1.0,0.33333333333333337,1,5
120873,0.0,0.0,0,1,6
122201,1.0,0.6666666666666666,0.8,9,6
