id,precision,recall,f1_score,agent_refactoring_count,oracle_count,true_positives_count
2001,0.0,0.0,0,8,6,0
2002,0.3333333333333333,1.0,0.5,3,1,1
2011,0.0,0.0,0,4,2,0
2012,0,0.0,0,0,5,0
2021,1.0,0.5,0.6666666666666666,1,2,1
2031,1.0,1.0,1.0,2,2,2
2041,0.0,0.0,0,4,2,0
2051,0.5,0.2,0.28571428571428575,2,5,1
2052,0.2,0.2,0.20000000000000004,5,5,1
2053,0,0.0,0,0,3,0
2054,0.0,0.0,0,3,3,0
2061,0.0,0.0,0,3,8,0
2062,0.6,0.375,0.4615384615384615,5,8,3
2063,0.5,0.5,0.5,6,6,3
2064,0.0,0.0,0,4,1,0
2065,0.25,1.0,0.4,4,1,1
2081,0.5714285714285714,0.8,0.6666666666666666,7,5,4
2091,0.0,0.0,0,1,6,0
2101,0,0.0,0,0,24,0
2111,0,0.0,0,0,2,0
2112,1.0,1.0,1.0,1,1,1
2121,1.0,0.14285714285714285,0.25,3,21,3
2122,0.25,0.125,0.16666666666666666,8,16,2
2131,0.0,0.0,0,1,6,0
2132,0.0,0.0,0,4,3,0
2133,0.0,0.0,0,4,1,0
2141,0.5555555555555556,0.25,0.3448275862068966,9,20,5
2151,1.0,0.125,0.2222222222222222,1,8,1
2161,0.75,0.6,0.6666666666666665,4,5,3
2162,0.0,0.0,0,19,1,0
2171,1.0,0.75,0.8571428571428571,3,4,3
2172,1.0,0.25,0.4,1,4,1
2181,0.3,0.23076923076923078,0.2608695652173913,10,13,3
2191,0.0,0.0,0,5,2,0
2192,0.02127659574468085,1.0,0.04166666666666667,47,1,1
2201,0.25,0.09090909090909091,0.13333333333333333,4,11,1
2211,0.0,0.0,0,5,27,0
2221,0.5,0.14285714285714285,0.22222222222222224,2,7,1
2222,0.0,0.0,0,2,3,0
2231,0.3333333333333333,1.0,0.5,3,1,1
2232,0,0.0,0,0,1,0
2233,0.0,0.0,0,1,1,0
2234,0.5,0.3333333333333333,0.4,2,3,1
2235,0.1111111111111111,1.0,0.19999999999999998,9,1,1
2236,0.6666666666666666,1.0,0.8,3,2,2
2241,0.25,0.3333333333333333,0.28571428571428575,4,3,1
2242,0.0,0.0,0,1,5,0
2243,0.42857142857142855,1.0,0.6,7,3,3
2244,0.0,0.0,0,1,3,0
2251,1.0,0.3333333333333333,0.5,3,9,3
2252,0.0,0.0,0,8,2,0
2253,0.0,0.0,0,2,1,0
2261,0.0,0.0,0,1,3,0
2271,0.0,0.0,0,2,41,0
2281,0.0,0.0,0,3,17,0
2282,0.6666666666666666,1.0,0.8,3,2,2
2283,0.0,0.0,0,8,2,0
2284,0.2,1.0,0.33333333333333337,5,1,1
2285,0.3333333333333333,1.0,0.5,3,1,1
2286,0.0,0.0,0,1,1,0
2291,0.3333333333333333,1.0,0.5,3,1,1
2292,0.0,0.0,0,6,5,0
2301,0.0,0.0,0,1,89,0
2302,1.0,1.0,1.0,87,87,87
2311,0.9523809523809523,1.0,0.975609756097561,21,20,20
2312,0.0,0.0,0,1,1,0
2321,1.0,1.0,1.0,4,4,4
2331,1.0,0.75,0.8571428571428571,3,4,3
2332,0.3,0.5,0.37499999999999994,10,6,3
2341,0.3333333333333333,0.11538461538461539,0.17142857142857146,9,26,3
2342,0.5454545454545454,1.0,0.7058823529411764,22,12,12
2343,0.0,0.0,0,3,1,0
2351,1.0,0.6666666666666666,0.8,2,3,2
