id,precision,recall,f1_score,agent_refactoring_count,oracle_count
2001,0.5,0.16666666666666666,0.25,2,6
2002,0.3333333333333333,1.0,0.5,3,1
2011,0.0,0.0,0,4,2
2012,0.4,0.4,0.4000000000000001,5,5
2021,0.16666666666666666,0.5,0.25,6,2
2031,1.0,1.0,1.0,2,2
2041,0,0.0,0,0,2
2051,0.5,0.2,0.28571428571428575,2,5
2052,1.0,0.6,0.7499999999999999,3,5
2053,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,3
2054,0.5,0.6666666666666666,0.5714285714285715,4,3
2061,0.0,0.0,0,12,8
2062,0.08333333333333333,0.125,0.1,12,8
2063,0.25,0.5,0.3333333333333333,12,6
2064,0.0,0.0,0,9,1
2065,0.16666666666666666,1.0,0.2857142857142857,6,1
2081,0.0,0.0,0,1,5
2091,0.0,0.0,0,3,6
2101,1.0,0.041666666666666664,0.07999999999999999,1,24
2111,1.0,1.0,1.0,2,2
2112,0.5,1.0,0.6666666666666666,2,1
2121,1.0,0.047619047619047616,0.0909090909090909,1,21
2122,0,0.0,0,0,17
2131,1.0,0.8,0.888888888888889,4,5
2132,0.0,0.0,0,4,3
2133,0.0,0.0,0,1,1
2141,1.0,0.15,0.2608695652173913,3,20
2151,0.8333333333333334,0.625,0.7142857142857143,6,8
2161,1.0,0.2,0.33333333333333337,1,5
2162,1.0,1.0,1.0,1,1
2171,0.0,0.0,0,8,4
2172,0.0,0.0,0,3,4
2181,1.0,0.38461538461538464,0.5555555555555556,5,13
2191,0.0,0.0,0,8,2
2192,0.5,1.0,0.6666666666666666,2,1
2201,0,0.0,0,0,11
2211,0.8,0.2962962962962963,0.43243243243243246,10,27
2221,0.0,0.0,0,3,7
2222,0.0,0.0,0,1,3
2231,0.5,1.0,0.6666666666666666,2,1
2232,0,0.0,0,0,1
2233,0.0,0.0,0,6,1
2234,1.0,0.3333333333333333,0.5,1,3
2235,0.16666666666666666,1.0,0.2857142857142857,6,1
2236,1.0,0.5,0.6666666666666666,1,2
2241,0.2,0.3333333333333333,0.25,5,3
2242,0.8,1.0,0.888888888888889,5,4
2243,1.0,1.0,1.0,3,3
2244,1.0,1.0,1.0,3,3
2251,0.0,0.0,0,4,9
2252,0.0,0.0,0,7,2
2253,0,0.0,0,0,1
2261,0.5,1.0,0.6666666666666666,4,2
2271,1.0,0.04878048780487805,0.09302325581395349,2,41
2281,0.75,0.17647058823529413,0.2857142857142857,4,17
2282,0.2222222222222222,1.0,0.3636363636363636,9,2
2283,0.2,0.5,0.28571428571428575,5,2
2284,0.3333333333333333,1.0,0.5,3,1
2285,0.3333333333333333,1.0,0.5,3,1
2286,0.0,0.0,0,2,1
2291,0.3333333333333333,1.0,0.5,3,1
2292,0.0,0.0,0,4,5
2301,1.0,0.9886363636363636,0.9942857142857142,87,88
2302,1.0,1.0,1.0,87,87
2311,0.9523809523809523,1.0,0.975609756097561,21,20
2312,0.0,0.0,0,2,1
2321,0.36363636363636365,1.0,0.5333333333333333,11,4
2331,0.5,0.75,0.6,6,4
2332,0.0,0.0,0,5,6
2341,0.0,0.0,0,1,26
2342,0.32432432432432434,1.0,0.489795918367347,37,12
2343,0.0,0.0,0,1,1
2351,0.0,0.0,0,5,4
