id,precision,recall,f1_score,agent_refactoring_count,oracle_count
2001,1.0,0.2857142857142857,0.4444444444444445,2,7
2002,0.2,0.5,0.28571428571428575,5,2
2011,0,0.0,0,0,3
2012,1.0,0.5,0.6666666666666666,3,6
2021,1.0,0.3333333333333333,0.5,1,3
2031,1.0,1.0,1.0,3,3
2041,1.0,0.3333333333333333,0.5,1,3
2051,0.6666666666666666,0.3333333333333333,0.4444444444444444,3,6
2052,1.0,0.6666666666666666,0.8,4,6
2053,0,0.0,0,0,4
2054,0,0.0,0,0,4
2061,0.0,0.0,0,1,9
2062,1.0,0.1111111111111111,0.19999999999999998,1,9
2063,0.8,0.5714285714285714,0.6666666666666666,5,7
2064,0.0,0.0,0,2,2
2065,0.3333333333333333,1.0,0.5,6,2
2081,1.0,0.16666666666666666,0.2857142857142857,1,6
2091,0.0,0.0,0,1,7
2101,1.0,0.08,0.14814814814814814,2,25
2111,1.0,1.0,1.0,3,3
2112,1.0,1.0,1.0,2,2
2121,1.0,0.045454545454545456,0.08695652173913045,1,22
2122,0,0.0,0,0,17
2131,1.0,0.16666666666666666,0.2857142857142857,1,6
2132,0.0,0.0,0,4,4
2133,0.0,0.0,0,4,2
2141,1.0,0.09523809523809523,0.17391304347826084,2,21
2151,1.0,0.3333333333333333,0.5,3,9
2161,1.0,0.3333333333333333,0.5,2,6
2162,1.0,1.0,1.0,2,2
2171,0,0.0,0,0,5
2172,0,0.0,0,0,5
2181,1.0,0.14285714285714285,0.25,2,14
2191,0.0,0.0,0,4,3
2192,0.5,1.0,0.6666666666666666,4,2
2201,1.0,0.16666666666666666,0.2857142857142857,2,12
2211,1.0,0.07142857142857142,0.13333333333333333,2,28
2221,0.0,0.0,0,1,8
2222,1.0,0.25,0.4,1,4
2231,0.0,0.0,0,1,2
2232,1.0,0.5,0.6666666666666666,1,2
2233,0.5,0.5,0.5,2,2
2234,0.3333333333333333,0.25,0.28571428571428575,3,4
2235,1.0,0.5,0.6666666666666666,1,2
2236,1.0,0.3333333333333333,0.5,1,3
2241,0.4,0.5,0.4444444444444445,5,4
2242,1.0,0.2,0.33333333333333337,1,5
2243,1.0,1.0,1.0,4,4
2244,1.0,1.0,1.0,4,4
2251,0.5,0.1,0.16666666666666669,2,10
2252,1.0,0.3333333333333333,0.5,1,3
2253,0.5,0.5,0.5,2,2
2261,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,3
2271,0.5,0.023809523809523808,0.04545454545454545,2,42
2281,0.5,0.05555555555555555,0.09999999999999999,2,18
2282,1.0,0.6666666666666666,0.8,2,3
2283,0.5,0.3333333333333333,0.4,2,3
2284,1.0,0.5,0.6666666666666666,1,2
2285,1.0,0.5,0.6666666666666666,1,2
2286,0.5,0.5,0.5,2,2
2291,0.5,1.0,0.6666666666666666,4,2
2292,0.0,0.0,0,1,6
2301,1.0,0.02247191011235955,0.04395604395604395,2,89
2302,1.0,0.022727272727272728,0.044444444444444446,2,88
2311,1.0,0.09523809523809523,0.17391304347826084,2,21
2312,0.0,0.0,0,1,2
2321,1.0,0.8,0.888888888888889,4,5
2322,0.0,0.0,0,6,4
2323,0.0,0.0,0,5,4
2331,1.0,0.4,0.5714285714285715,2,5
2332,0.0,0.0,0,1,7
2341,1.0,0.037037037037037035,0.07142857142857142,1,27
2342,0.3333333333333333,0.07692307692307693,0.125,3,13
2343,0.0,0.0,0,1,2
2351,0,0.0,0,0,4
