id,recall,precision,f1_score,human_review_count
102121,0,0.0,0.0,3
102122,0.333333,0.1,0.153846,10
102123,0.666667,0.25,0.363636,8
112651,0.103448,0.428571,0.166667,7
112661,0.272727,0.5,0.352941,2
112681,0.125,0.333333,0.181818,3
112691,0.8,0.068966,0.126984,58
112741,0.7,0.625,0.660377,8
112742,0,0.0,0.0,23
116351,0.333333,0.5,0.4,6
116352,0.333333,0.0,0.0,1
119621,0.666667,0.25,0.363636,4
119831,1.0,0.714286,0.833333,28
132451,0.454545,0.172414,0.25,29
132483,0.333333,0.666667,0.444444,3
