id,recall,precision,f1_score,human_review_count,first_file_precision,first_file_recall,tp_starting_file,tp_sec_files,fp_starting_file,fp_sec_files,count_acc_starting_file,count_acc_secondary_files,count_rej_starting_file,count_rej_secondary_files,tp_count,oracle_count,fp_count,human_rejected_count
102121,0,0.0,0.0,1,0,0.0,0,0,0,0,1,0,1,2,0,4,0,1
102122,1.0,0.5,0.666667,6,1.0,2.0,6,0,0,0,4,0,3,0,3,3,0,3
102123,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,3,0,3,0,0
112651,0.034483,0.142857,0.055556,7,1.0,0.4,2,0,0,0,2,4,6,0,1,29,0,6
112661,0.090909,0.25,0.133333,4,1.0,0.4,2,0,0,0,2,2,3,0,1,11,0,3
112681,0.125,1.0,0.222222,1,1.0,2.0,2,0,0,0,2,0,0,0,1,8,0,0
112691,0,0.0,0.0,1,0,0,0,0,0,0,1,5,1,2,0,5,0,1
112741,0.5,0.5,0.5,6,1.0,2.6666666666666665,8,0,0,0,4,2,3,3,5,10,0,3
112742,0.666667,0.571429,0.615385,7,0.5714285714285714,2.6666666666666665,8,0,6,0,5,0,3,9,4,3,4,3
116351,0,0,0.0,0,0,0,0,0,0,0,1,2,0,4,0,9,0,0
116352,1.0,0.25,0.4,4,0.8,4.0,4,0,1,0,2,0,3,3,3,3,1,3
119621,1.0,1.0,1.0,1,1.0,4.0,4,0,0,0,2,0,0,0,3,3,0,0
119831,0.04,1.0,0.076923,1,1.0,0,1,0,0,0,2,18,0,2,1,25,0,0
132451,1.0,1.0,1.0,11,1.0,2.0,22,0,0,0,12,0,0,7,11,11,0,0
132483,0,0.5,0.0,2,0,0,0,0,0,0,2,1,1,0,0,3,0,1
