id,recall,precision,f1_score,human_review_count,first_file_precision,first_file_recall,tp_starting_file,tp_sec_files,fp_starting_file,fp_sec_files,count_acc_starting_file,count_acc_secondary_files,count_rej_starting_file,count_rej_secondary_files,tp_count,oracle_count,fp_count,human_rejected_count
102121,0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,3
102122,1.0,0.5,0.666667,6,0,0,0,0,0,0,0,0,0,0,3,3,0,3
102123,0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3
112651,0.172414,0.454545,0.25,11,0,0,0,0,0,0,0,0,0,0,5,29,0,6
112661,0.272727,0.5,0.352941,6,0,0,0,0,0,0,0,0,0,0,3,11,0,3
112681,0.125,1.0,0.222222,1,0,0,0,0,0,0,0,0,0,0,1,8,0,0
112691,1.0,0.625,0.769231,8,0,0,0,0,0,0,0,0,0,0,5,5,2,3
112741,0.7,0.454545,0.551181,11,0,0,0,0,0,0,0,0,0,0,7,10,0,6
112742,0.666667,0.25,0.363636,16,0,0,0,0,0,0,0,0,0,0,4,3,4,12
116351,0.222222,0.333333,0.266667,6,0,0,0,0,0,0,0,0,0,0,2,9,0,4
116352,1.0,0.142857,0.25,7,0,0,0,0,0,0,0,0,0,0,3,3,1,6
119621,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0
119831,1.0,0.904762,0.95,21,0,0,0,0,0,0,0,0,0,0,25,25,0,2
132451,1.0,0.611111,0.758621,18,0,0,0,0,0,0,0,0,0,0,11,11,0,7
132483,0.333333,0.666667,0.444444,3,0,0,0,0,0,0,0,0,0,0,1,3,0,1
