id,recall,precision,f1_score,human_review_count
100601,0.857143,0.439024,0.580645,41
100681,0.04878,0.666667,0.090909,9
100831,0.55814,0.275,0.368458,80
103411,0.5,0.333333,0.4,6
103412,0.5,0.071429,0.125,42
103501,0.285714,0.714286,0.408163,7
103861,0.333333,0.333333,0.333333,3
103871,1.0,0.25,0.4,16
103872,1.0,0.025424,0.049587,118
113011,0.2,1.0,0.333333,3
113012,1.0,0.230769,0.375,13
114941,1.0,1.0,1.0,7
115671,0.75,0.136364,0.230769,22
115691,0.4,0.8,0.533333,10
116371,0.4,0.666667,0.5,3
116372,0.6,1.0,0.75,2
116373,0.5,0.222222,0.307692,9
116374,0.5,0.5,0.5,4
116375,0,0.0,0.0,1
117401,1.0,0.235294,0.380952,17
118261,0.875,0.875,0.875,8
118631,0.375,0.272727,0.315789,11
126781,0.214286,1.0,0.352941,2
127311,0.2,1.0,0.333333,1
127651,1.0,0.333333,0.5,3
128102,0.666667,0.615385,0.64,13
128181,0.843137,0.75,0.793846,52
128183,0.666667,0.333333,0.444444,6
128431,1.0,1.0,1.0,6
128661,1.0,0.111111,0.2,27
128662,1.0,0.5,0.666667,2
128721,0.8,0.142857,0.242424,21
128911,0.833333,0.230769,0.361446,13
132601,1.0,0.0,0.0,5
132691,0.166667,0.058824,0.086957,17
132711,0,0.0,0.0,3
133261,1.0,0.461538,0.631579,13
133611,1.0,0.074074,0.137931,54
134711,0.666667,0.25,0.363636,8
134751,0.666667,0.052632,0.097561,38
135901,1.0,0.054545,0.103448,55
135921,1.0,0.071429,0.133333,42
135952,0.5,0.04918,0.089552,61
136521,1.0,0.333333,0.5,6
136631,0.571429,0.4,0.470588,5
137071,0.666667,0.222222,0.333333,9
137191,1.0,0.0,0.0,2
137341,0.666667,0.076923,0.137931,39
137851,1.0,0.352941,0.521739,17
137961,1.0,0.1875,0.315789,16
137962,1.0,0.103448,0.1875,29
137981,0.571429,0.6,0.585366,5
139071,1.0,0.25,0.4,12
139072,1.0,0.36,0.529412,25
140381,1.0,0.5,0.666667,18
141551,0.5,0.333333,0.4,3
142371,0.217391,0.555556,0.3125,9
142701,0.666667,0.666667,0.666667,6
143531,0.076923,0.5,0.133333,4
143761,1.0,0.2,0.333333,10
