id,recall,precision,f1_score,human_review_count
100601,1.0,0.875,0.933333,24
100681,0,0.666667,0.0,3
100831,0.116279,0.3,0.167598,10
103411,1.0,0.210526,0.347826,19
103412,1.0,0.09434,0.172414,53
103501,0.285714,0.5,0.363636,8
103861,0.333333,0.333333,0.333333,3
103871,0.666667,0.222222,0.333333,18
103872,1.0,0.026786,0.052174,112
113011,0.2,1.0,0.333333,3
113012,0.75,0.222222,0.342857,9
114941,1.0,0.875,0.933333,8
115671,0.25,0.1,0.142857,10
115691,0.32,0.318182,0.319088,22
116371,0.6,0.333333,0.428571,6
