id,recall,precision,f1_score,human_review_count,first_file_precision,first_file_recall,tp_starting_file,tp_sec_files,fp_starting_file,fp_sec_files,count_acc_starting_file,count_acc_secondary_files,count_rej_starting_file,count_rej_secondary_files,tp_count,oracle_count,fp_count,human_rejected_count
100601,0,0,0.0,0,0,0,0,0,0,0,1,19,0,8,0,21,0,0
100681,0.04878,1.0,0.093023,2,1.0,0,2,0,0,0,3,4,0,2,2,41,0,0
100831,0.023256,1.0,0.045455,1,1.0,2.0,2,0,0,0,2,1,0,9,1,43,0,0
103411,0.25,0.25,0.25,4,1.0,2.0,2,0,0,0,2,3,3,6,1,4,0,3
103412,0.5,0.4,0.444444,5,1.0,0,2,0,0,0,3,3,3,5,2,4,0,3
103501,0,0,0.0,0,0,0,0,0,0,0,1,5,0,2,0,14,0,0
103861,0.333333,0.333333,0.333333,3,1.0,2.0,2,0,0,0,2,0,2,0,1,3,0,2
103871,0.333333,0.333333,0.333333,3,1.0,2.0,2,0,0,0,2,2,2,2,1,3,0,2
103872,0,0.0,0.0,4,0,0,0,0,0,0,1,1,4,5,0,3,0,4
113011,0,0,0.0,0,0,0,0,0,0,0,1,4,0,0,0,5,0,0
113012,0,0.0,0.0,3,0,0.0,0,0,0,0,1,3,3,0,0,4,0,3
114941,0.777778,1.0,0.875,5,1.0,2.4,12,0,0,0,6,2,0,0,7,9,0,0
115671,0.75,1.0,0.857143,3,1.0,2.0,6,0,0,0,4,0,0,3,3,4,0,0
115691,0.28,1.0,0.4375,5,1.0,2.0,14,0,0,0,6,2,0,2,7,25,0,0
116371,0.6,1.0,0.75,2,1.0,2.5,5,0,0,0,3,0,0,3,3,5,0,0
