id,recall,precision,f1_score,human_review_count,first_file_precision,first_file_recall,tp_starting_file,tp_sec_files,fp_starting_file,fp_sec_files,count_acc_starting_file,count_acc_secondary_files,count_rej_starting_file,count_rej_secondary_files,tp_count,oracle_count,fp_count,human_rejected_count
100601,0.904762,0.703704,0.791667,27,0,0,0,19,0,0,1,19,0,8,19,21,0,8
100681,0.04878,0.75,0.091603,8,1.0,0,2,0,0,0,3,4,0,2,2,41,0,2
100831,0.069767,0.181818,0.10084,11,1.0,2.0,2,2,0,0,2,1,0,9,3,43,0,9
103411,1.0,0.307692,0.470588,13,1.0,2.0,2,3,0,0,2,3,3,6,4,4,0,9
103412,1.0,0.384615,0.555556,13,1.0,0,2,2,0,0,3,3,3,5,4,4,0,8
103501,0.285714,0.714286,0.408163,7,0,0,0,4,0,0,1,5,0,2,4,14,0,2
103861,0.333333,0.333333,0.333333,3,1.0,2.0,2,0,0,0,2,0,2,0,1,3,0,2
103871,1.0,0.428571,0.6,7,1.0,2.0,2,2,0,0,2,2,2,2,3,3,0,4
103872,0.333333,0.1,0.153846,10,0,0,0,1,0,0,1,1,4,5,1,3,0,9
113011,0.4,1.0,0.571429,4,0,0,0,2,0,0,1,4,0,0,2,5,0,0
113012,1.0,0.5,0.666667,6,1.0,1.0,3,1,0,0,1,3,3,0,4,4,0,3
114941,1.0,1.0,1.0,7,1.0,2.4,12,2,0,0,6,2,0,0,9,9,0,0
115671,0.75,0.5,0.6,6,1.0,2.0,6,0,0,0,4,0,0,3,3,4,0,3
115691,0.4,0.777778,0.528302,9,1.0,2.0,14,3,0,0,6,2,0,2,10,25,0,2
116371,0.6,0.4,0.48,5,1.0,2.5,5,0,0,0,3,0,0,3,3,5,0,3
116372,0.6,0.4,0.48,5,1.0,2.5,5,0,0,0,3,0,0,3,3,5,0,3
116373,0.5,0.25,0.333333,8,1.0,2.0,4,0,0,0,3,0,3,3,2,4,0,6
116374,0.5,0.333333,0.4,6,1.0,1.5,3,0,0,0,2,1,3,1,2,4,0,4
116375,0,0.0,0.0,1,0,0.0,0,0,0,0,1,0,1,0,0,3,0,1
117401,0.25,0.166667,0.2,6,0,0,0,1,0,0,1,1,1,4,1,4,0,5
118261,1.0,1.0,1.0,8,0,0,0,8,0,0,1,8,0,0,8,8,0,0
118631,0.125,0.166667,0.142857,6,1.0,0.3333333333333333,2,0,0,0,2,0,3,2,1,8,0,5
126781,0.285714,1.0,0.444444,3,1.0,2.5,5,1,0,0,3,1,0,0,4,14,0,0
127311,0.6,0.25,0.352941,12,1.0,2.0,2,2,0,0,2,2,0,9,3,5,0,9
127651,1.0,0.333333,0.5,3,1.0,5.0,5,1,0,0,1,1,2,0,5,5,0,2
128102,1.0,0.888889,0.941176,9,0,0,0,12,0,0,1,8,0,1,12,12,0,1
128181,0.411765,0.772727,0.537246,22,1.0,0,4,17,0,0,5,13,1,4,21,51,0,5
128183,0.666667,0.4,0.5,5,1.0,2.0,4,0,0,0,3,0,3,0,2,3,0,3
128431,1.0,1.0,1.0,6,1.0,2.0,6,3,0,0,4,3,0,0,6,6,0,0
128661,1.0,0.333333,0.5,9,1.0,2.0,2,4,0,1,2,2,2,4,5,5,1,6
128662,1.0,0.0,0.0,3,0.75,0,3,0,1,0,1,0,3,0,3,3,1,3
128721,0.4,0.166667,0.235294,6,1.0,2.0,4,0,0,0,2,0,1,4,2,5,0,5
128911,1.0,0.333333,0.5,12,1.0,3.0,6,2,0,0,3,2,0,8,6,6,0,8
132601,1.0,0.0,0.0,3,1.0,0,3,0,0,0,1,0,3,0,3,3,0,3
132691,0.166667,0.1,0.125,10,1.0,0,1,0,0,0,2,0,8,1,1,6,0,9
132711,0,0.0,0.0,3,0,0,0,0,0,0,1,0,0,3,0,8,0,3
133261,0.875,1.0,0.933333,5,0,0,0,7,0,0,1,5,0,0,7,8,0,0
133611,0,0.0,0.0,4,0,0.0,0,0,0,0,1,0,4,0,0,7,0,4
134711,0,0.0,0.0,6,0,0,0,0,0,0,1,0,2,4,0,3,0,6
134751,0.666667,0.4,0.5,5,0.12121212121212122,2.0,4,0,29,0,3,0,2,1,2,3,29,3
135901,0.666667,0.333333,0.444444,6,1.0,2.0,2,1,0,0,2,1,1,3,2,3,0,4
135921,0.666667,0.333333,0.444444,6,1.0,2.0,2,1,0,0,2,1,1,3,2,3,0,4
135952,0.5,0.5,0.5,6,1.0,1.0,5,0,0,0,3,1,3,0,3,6,0,3
136521,1.0,0.4,0.571429,5,1.0,2.0,2,5,0,0,2,1,3,0,6,6,0,3
136631,0.571429,0.4,0.470588,5,1.0,0,2,2,0,0,1,2,0,3,4,7,0,3
137071,0.333333,0.25,0.285714,4,0,0.0,0,1,0,0,1,1,3,0,1,3,0,3
137191,1.0,0,0.0,0,1.0,0,3,0,0,0,1,0,0,0,3,3,0,0
137341,0.666667,0.25,0.363636,12,1.0,2.0,6,1,0,0,3,1,0,9,4,6,0,9
137851,1.0,0.75,0.857143,8,1.0,1.0,2,6,0,0,1,6,2,0,8,8,0,2
137961,1.0,0.333333,0.5,9,1.0,2.0,2,2,0,0,2,2,2,4,3,3,0,6
137962,0.333333,0.142857,0.2,7,0,0.0,0,1,0,0,1,1,3,3,1,3,0,6
137981,0.857143,0.714286,0.779221,7,1.0,2.0,4,4,0,0,2,4,1,1,6,7,0,2
139071,1.0,0.333333,0.5,9,1.0,2.0,2,2,0,0,2,2,1,5,3,3,0,6
139072,1.0,0.642857,0.782609,14,1.0,2.0,8,5,0,0,5,5,2,3,9,9,0,5
140381,0.2,0.2,0.2,5,1.0,2.0,4,0,0,0,2,0,4,0,2,10,0,4
141551,0.5,0.333333,0.4,3,1.0,2.0,4,0,0,0,2,0,2,0,2,4,0,2
142371,0.086957,0.666667,0.153846,3,1.0,0.36363636363636365,4,0,0,0,3,0,1,0,2,23,0,1
142701,0.666667,0.666667,0.666667,6,1.0,2.0,4,2,0,0,3,2,1,1,4,6,0,2
143531,0.076923,0.5,0.133333,4,0,0,0,2,0,0,1,2,0,2,2,26,0,2
143761,1.0,0.222222,0.363636,9,0,0,0,3,0,0,1,2,1,6,3,3,0,7
