id,recall,precision,f1_score,human_review_count,first_file_precision,first_file_recall,tp_starting_file,tp_sec_files,fp_starting_file,fp_sec_files,count_acc_starting_file,count_acc_secondary_files,count_rej_starting_file,count_rej_secondary_files,tp_count,oracle_count,fp_count,human_rejected_count
2001,0.833333,0.714286,0.769231,7,0,0,0,5,0,0,1,5,0,2,5,6,0,2
2012,0.4,0.5,0.444444,4,0,0.0,0,2,0,0,1,2,0,2,2,5,0,2
2051,0.2,0.5,0.285714,2,1.0,2.0,2,0,0,0,2,0,1,0,1,5,0,1
2052,1.0,0.625,0.769231,8,1.0,2.0,6,2,0,0,4,2,3,0,5,5,0,3
2053,1.0,0.272727,0.428571,11,0,0,0,3,0,0,1,3,2,6,3,3,0,8
2054,0.666667,0.25,0.363636,8,1.0,2.0,4,0,0,0,3,0,1,5,2,3,0,6
2063,0.2,0.111111,0.142857,9,1.0,2.0,2,0,0,0,2,0,1,7,1,5,0,8
2121,0.631579,0.228188,0.335251,149,1.0,0,4,20,0,0,5,30,9,106,24,38,0,115
2132,1.0,0.5,0.666667,4,1.0,2.0,4,0,0,0,3,0,1,1,2,2,0,2
2151,0.875,0.155556,0.264151,45,0,0,0,7,0,0,1,7,2,36,7,8,0,38
2161,0.8,0.5,0.615385,6,1.0,0,1,3,0,0,2,2,1,2,4,5,0,3
2171,1.0,0.2,0.333333,20,1.0,2.0,4,2,0,0,3,2,1,15,4,4,0,16
2172,1.0,0.142857,0.25,28,1.0,2.0,4,2,0,0,3,2,3,21,4,4,0,24
2201,1.0,0.101852,0.184874,108,1.0,2.0,22,0,0,0,12,0,4,93,11,11,0,97
2211,0.518519,0.268293,0.353617,41,1.0,7.0,7,8,0,1,2,10,7,23,14,27,1,30
2221,0,0.076923,0.0,13,0,0,0,0,0,0,1,1,1,11,0,7,0,12
2222,0.666667,0.008439,0.016667,237,0,0,0,2,0,0,1,2,14,221,2,3,0,235
2234,0.666667,0.272727,0.387097,11,0,0,0,2,0,0,1,3,1,7,2,3,0,8
2241,0.333333,0.04,0.071429,25,1.0,2.0,2,0,0,0,2,0,3,21,1,3,0,24
2243,1.0,0.466667,0.636364,15,1.0,2.0,14,0,0,0,8,0,7,1,7,7,0,8
