id,recall,precision,f1_score,human_review_count,first_file_precision,first_file_recall,tp_starting_file,tp_sec_files,fp_starting_file,fp_sec_files,count_acc_starting_file,count_acc_secondary_files,count_rej_starting_file,count_rej_secondary_files,tp_count,oracle_count,fp_count,human_rejected_count
2001,0.5,0.5,0.5,6,0,0,0,3,0,0,1,3,1,2,3,6,0,3
2012,1.0,0.384615,0.555556,13,1.0,2.0,2,4,0,0,2,4,0,8,5,5,0,8
2051,1.0,0.833333,0.909091,6,1.0,2.0,2,4,0,0,2,4,1,0,5,5,0,1
2052,1.0,0.625,0.769231,8,1.0,2.0,6,2,0,0,4,2,3,0,5,5,0,3
2053,0.333333,0.142857,0.2,7,0,0,0,1,0,0,1,1,2,4,1,3,0,6
2054,0.666667,0.285714,0.4,7,1.0,2.0,4,0,0,0,3,0,1,4,2,3,0,5
2063,1.0,0.294118,0.454545,17,1.0,2.0,2,4,0,0,2,4,1,11,5,5,0,12
2121,0.815789,0.645833,0.72093,48,1.0,0,4,27,0,0,5,27,4,13,31,38,0,17
2132,0,0.0,0.0,10,0,0.0,0,0,0,0,1,0,6,4,0,2,0,10
2151,0.25,0.25,0.25,8,0,0,0,2,0,0,1,2,3,3,2,8,0,6
2161,0.8,0.5,0.615385,6,1.0,0,1,3,0,0,2,2,1,2,4,5,0,3
2171,1.0,0.4,0.571429,10,1.0,2.0,4,2,0,0,3,2,1,5,4,4,0,6
2172,1.0,0.363636,0.533333,11,1.0,2.0,4,2,0,0,3,2,2,5,4,4,0,7
2201,1.0,0.275,0.431373,40,1.0,2.0,22,0,0,0,12,0,3,26,11,11,0,29
2211,0.185185,0,0.0,0,1.0,5.0,5,0,0,0,1,0,0,0,5,27,0,0
2221,0,0.25,0.0,4,0,0,0,0,0,0,1,1,1,2,0,7,0,3
2222,0.333333,0.052632,0.090909,19,0,0,0,1,0,0,1,1,5,13,1,3,0,18
2234,0.666667,0.333333,0.444444,9,0,0,0,2,0,0,1,3,1,5,2,3,0,6
2241,0,0.0,0.0,3,0,0.0,0,0,0,0,1,0,3,0,0,3,0,3
2243,1.0,0.636364,0.777778,11,1.0,2.0,14,0,0,0,8,0,3,1,7,7,0,4
