id,recall,precision,f1_score,human_review_count
2001,0.5,0.6,0.545455,5
2012,1.0,0.333333,0.5,15
2051,1.0,0.833333,0.909091,6
2052,1.0,0.833333,0.909091,6
2053,0.666667,0.222222,0.333333,9
2054,0.666667,0.095238,0.166667,21
2063,0.2,0.03125,0.054054,32
2121,0.815789,0.216783,0.342541,143
2132,1.0,0.285714,0.444444,7
2151,0.875,0.163265,0.275184,49
2161,0.4,0.3,0.342857,10
2171,1.0,0.130435,0.230769,23
2172,1.0,0.3,0.461538,10
2201,0.454545,0.05618,0.1,89
2211,0.407407,0.0625,0.108374,16
2221,0,0.083333,0.0,12
2222,0,0.0,0.0,61
2234,0.333333,0.142857,0.2,7
2241,0.333333,0.013158,0.025316,76
2243,1.0,0.3,0.461538,20
2283,0.666667,0.181818,0.285714,11
2292,0,0,0.0,0
2311,0.85,0.809524,0.829268,21
2321,1.0,0.173913,0.296296,23
2322,1.0,0.6,0.75,5
2323,1.0,0.6,0.75,5
2331,1.0,1.0,1.0,1
2332,1.0,0.714286,0.833333,7
2342,1.0,0.030303,0.058824,33
2351,1.0,0.3,0.461538,10
122411,0.176471,0.069767,0.1,43
122421,0.636364,0.090226,0.158043,133
122422,0,0.0,0.0,9
122491,1.0,0.583333,0.736842,12
133021,1.0,0.24,0.387097,25
133451,1.0,1.0,1.0,3
142761,1.0,0.411765,0.583333,17
160961,1.0,0.090909,0.166667,44
163651,1.0,0.016287,0.032051,307
