id,recall,precision,f1_score,human_review_count,first_file_precision,first_file_recall,tp_starting_file,tp_sec_files,fp_starting_file,fp_sec_files,count_acc_starting_file,count_acc_secondary_files,count_rej_starting_file,count_rej_secondary_files,tp_count,oracle_count,fp_count,human_rejected_count
2001,0,0,0.0,0,0,0,0,0,0,0,1,3,0,2,0,6,0,0
2012,0.2,0.25,0.222222,4,1.0,2.0,2,0,0,0,2,4,3,3,1,5,0,3
2051,0.2,0.5,0.285714,2,1.0,2.0,2,0,0,0,2,4,1,0,1,5,0,1
2052,0.6,1.0,0.75,3,1.0,2.0,6,0,0,0,4,2,0,0,3,5,0,0
2053,0,0.0,0.0,2,0,0,0,0,0,0,1,3,2,2,0,3,0,2
2054,0.666667,0.666667,0.666667,3,1.0,2.0,4,0,0,0,3,0,1,5,2,3,0,1
2063,0.2,0.25,0.222222,4,1.0,2.0,2,0,0,0,2,0,3,2,1,5,0,3
2121,0.105263,0.5,0.173913,8,1.0,0,4,0,0,0,5,26,4,11,4,38,0,4
2132,1.0,0.333333,0.5,6,1.0,2.0,4,0,0,0,3,0,4,2,2,2,0,4
2151,0,0.0,0.0,2,0,0,0,0,0,0,1,6,2,7,0,8,0,2
2161,0.2,0.5,0.285714,2,1.0,0,1,0,0,0,2,2,1,3,1,5,0,1
2171,0.75,0.666667,0.705882,3,1.0,2.5,5,0,0,0,3,1,1,2,3,4,0,1
2172,0.75,0.5,0.6,4,1.0,2.5,5,0,0,0,3,1,2,1,3,4,0,2
2201,1.0,0.785714,0.88,14,1.0,2.0,22,0,0,0,12,0,3,21,11,11,0,3
2211,0.185185,0.0,0.0,3,1.0,5.0,5,0,0,0,1,0,3,0,5,27,0,3
2221,0,0,0.0,0,0,0,0,0,0,0,1,1,0,1,0,7,0,0
2222,0,0.0,0.0,4,0,0,0,0,0,0,1,0,4,7,0,3,0,4
2234,0,0.0,0.0,1,0,0,0,0,0,0,1,1,1,2,0,3,0,1
2241,0.333333,0.142857,0.2,7,1.0,2.0,2,0,0,0,2,0,6,3,1,3,0,6
2243,1.0,0.777778,0.875,9,1.0,2.0,14,0,0,0,8,0,2,1,7,7,0,2
2283,0.333333,0.25,0.285714,4,1.0,2.0,2,0,0,0,2,0,3,4,1,3,0,3
2292,1.0,0.625,0.769231,8,1.0,2.0,10,0,0,0,6,0,3,6,5,5,0,3
2311,0.05,1.0,0.095238,1,1.0,0,1,0,0,0,2,18,0,2,1,20,0,0
2321,1.0,0.8,0.888889,5,1.0,2.0,8,0,0,0,5,0,1,6,4,4,0,1
2322,1.0,0.6,0.75,5,1.0,2.0,6,0,0,0,4,0,2,0,3,3,0,2
2323,1.0,0.6,0.75,5,1.0,2.0,6,0,0,0,4,0,2,0,3,3,0,2
2331,0.75,0,0.0,0,1.0,0,3,0,0,0,1,1,0,0,3,4,0,0
2332,0.166667,0.5,0.25,2,1.0,2.0,2,0,0,0,2,4,1,1,1,6,0,1
2342,0,0.0,0.0,1,0,0,0,0,0,0,1,1,1,6,0,12,0,1
2351,0.666667,1.0,0.8,2,1.0,2.0,4,0,0,0,3,0,0,3,2,3,0,0
122411,0.058824,1.0,0.111111,1,1.0,0,1,0,0,0,2,2,0,5,1,17,0,0
122421,0,0.0,0.0,2,0,0,0,0,0,0,1,3,2,4,0,22,0,2
122422,0,0.0,0.0,3,0,0,0,0,0,0,1,0,3,0,0,6,0,3
122491,0.285714,0.666667,0.4,3,1.0,3.0,3,0,0,0,3,5,1,2,2,7,0,1
133021,0,0.0,0.0,3,0,0,0,0,0,0,1,5,3,3,0,6,0,3
133451,0.777778,1.0,0.875,1,1.0,8.0,8,0,0,0,2,2,0,0,7,9,0,0
142761,0.428571,0.75,0.545455,4,1.0,2.0,6,0,0,0,4,4,1,3,3,7,0,1
160961,0.25,0.5,0.333333,2,0.5,2.0,2,0,2,0,2,3,1,5,1,4,1,1
163651,0.4,0.666667,0.5,3,1.0,2.0,4,0,0,0,3,2,1,3,2,5,0,1
