id,recall,precision,f1_score,human_review_count,first_file_precision,first_file_recall,tp_starting_file,tp_sec_files,fp_starting_file,fp_sec_files,count_acc_starting_file,count_acc_secondary_files,count_rej_starting_file,count_rej_secondary_files,tp_count,oracle_count,fp_count,human_rejected_count
2001,0.5,0.6,0.545455,5,0,0,0,3,0,0,1,3,0,2,3,6,0,2
2012,1.0,0.454545,0.625,11,1.0,2.0,2,4,0,0,2,4,3,3,5,5,0,6
2051,1.0,0.833333,0.909091,6,1.0,2.0,2,4,0,0,2,4,1,0,5,5,0,1
2052,1.0,1.0,1.0,5,1.0,2.0,6,2,0,0,4,2,0,0,5,5,0,0
2053,1.0,0.428571,0.6,7,0,0,0,3,0,0,1,3,2,2,3,3,0,4
2054,0.666667,0.25,0.363636,8,1.0,2.0,4,0,0,0,3,0,1,5,2,3,0,6
2063,0.2,0.166667,0.181818,6,1.0,2.0,2,0,0,0,2,0,3,2,1,5,0,5
2121,0.763158,0.666667,0.711656,45,1.0,0,4,25,0,0,5,26,4,11,29,38,0,15
2132,1.0,0.25,0.4,8,1.0,2.0,4,0,0,0,3,0,4,2,2,2,0,6
2151,0.625,0.4,0.487805,15,0,0,0,5,0,0,1,6,2,7,5,8,0,9
2161,0.4,0.428571,0.413793,7,1.0,0,1,1,0,0,2,2,1,3,2,5,0,4
2171,1.0,0.5,0.666667,6,1.0,2.5,5,1,0,0,3,1,1,2,4,4,0,3
2172,1.0,0.5,0.666667,6,1.0,2.5,5,1,0,0,3,1,2,1,4,4,0,3
2201,1.0,0.314286,0.478261,35,1.0,2.0,22,0,0,0,12,0,3,21,11,11,0,24
2211,0.185185,0.0,0.0,3,1.0,5.0,5,0,0,0,1,0,3,0,5,27,0,3
2221,0,0.5,0.0,2,0,0,0,0,0,0,1,1,0,1,0,7,0,1
2222,0,0.0,0.0,11,0,0,0,0,0,0,1,0,4,7,0,3,0,11
2234,0.333333,0.25,0.285714,4,0,0,0,1,0,0,1,1,1,2,1,3,0,3
2241,0.333333,0.1,0.153846,10,1.0,2.0,2,0,0,0,2,0,6,3,1,3,0,9
2243,1.0,0.7,0.823529,10,1.0,2.0,14,0,0,0,8,0,2,1,7,7,0,3
2283,0.333333,0.125,0.181818,8,1.0,2.0,2,0,0,0,2,0,3,4,1,3,0,7
2292,1.0,0.357143,0.526316,14,1.0,2.0,10,0,0,0,6,0,3,6,5,5,0,9
2311,0.95,0.904762,0.926829,21,1.0,0,1,18,0,0,2,18,0,2,19,20,0,2
2321,1.0,0.363636,0.533333,11,1.0,2.0,8,0,0,0,5,0,1,6,4,4,0,7
2322,1.0,0.6,0.75,5,1.0,2.0,6,0,0,0,4,0,2,0,3,3,0,2
2323,1.0,0.6,0.75,5,1.0,2.0,6,0,0,0,4,0,2,0,3,3,0,2
2331,1.0,1.0,1.0,1,1.0,0,3,1,0,0,1,1,0,0,4,4,0,0
2332,1.0,0.714286,0.833333,7,1.0,2.0,2,5,0,0,2,4,1,1,6,6,0,2
2342,1.0,0.125,0.222222,8,0,0,0,12,0,0,1,1,1,6,12,12,0,7
2351,0.666667,0.4,0.5,5,1.0,2.0,4,0,0,0,3,0,0,3,2,3,0,3
122411,0.882353,0.375,0.526316,8,1.0,0,1,14,0,1,2,2,0,5,15,17,1,5
122421,0.045455,0.333333,0.08,9,0,0,0,1,0,0,1,3,2,4,1,22,0,6
122422,0,0.0,0.0,3,0,0,0,0,0,0,1,0,3,0,0,6,0,3
122491,1.0,0.7,0.823529,10,1.0,3.0,3,5,0,0,3,5,1,2,7,7,0,3
133021,0.833333,0.454545,0.588235,11,0,0,0,5,0,0,1,5,3,3,5,6,0,6
133451,1.0,1.0,1.0,3,1.0,8.0,8,2,0,0,2,2,0,0,9,9,0,0
142761,1.0,0.636364,0.777778,11,1.0,2.0,6,4,0,0,4,4,1,3,7,7,0,4
160961,1.0,0.4,0.571429,10,0.5,2.0,2,3,2,0,2,3,1,5,4,4,1,6
163651,0.8,0.5,0.615385,8,1.0,2.0,4,2,0,0,3,2,1,3,4,5,0,4
