id,recall,precision,f1_score,human_review_count,first_file_precision,first_file_recall,tp_starting_file,tp_sec_files,fp_starting_file,fp_sec_files,count_acc_starting_file,count_acc_secondary_files,count_rej_starting_file,count_rej_secondary_files,tp_count,oracle_count,fp_count,human_rejected_count
502,0.7,0.444444,0.543689,9,0,0,0,7,0,3,1,4,0,5,7,10,3,5
506,1.0,0.333333,0.5,9,0,0,0,2,0,0,1,3,2,4,2,2,0,6
507,1.0,0.666667,0.8,9,0.0,0,0,3,2,3,1,6,2,1,3,3,5,3
508,0.4,0.5,0.444444,6,0,0,0,2,0,0,1,3,0,3,2,5,0,3
511,1.0,0.8,0.888889,5,1.0,3.0,12,0,0,0,5,0,1,0,8,8,0,1
514,1.0,0.357143,0.526316,14,1.0,2.0,10,0,0,0,6,0,4,5,5,5,0,9
527,1.0,0.142857,0.25,7,0.8333333333333334,5.0,5,0,1,0,2,0,3,3,4,4,1,6
529,0.666667,0.5,0.571429,6,0.8,1.3333333333333333,4,0,1,2,3,1,1,2,2,3,3,3
533,1.0,0.6,0.75,5,1.0,2.0,2,2,0,0,2,2,1,1,3,3,0,2
540,0.4,0.333333,0.363636,3,1.0,2.0,4,0,0,0,2,0,0,2,2,5,0,2
542,0.333333,0.166667,0.222222,6,1.0,2.0,2,0,0,0,2,0,1,4,1,3,0,5
544,0.975,0.85,0.908219,20,0,0,0,39,0,1,1,17,0,3,39,40,1,3
553,1.0,0.666667,0.8,6,0,0,0,6,0,0,1,4,0,2,6,6,0,2
554,1.0,0.428571,0.6,14,1.0,2.0,10,4,0,1,4,3,0,8,9,9,1,8
555,0.076923,1.0,0.142857,1,0,0,0,1,0,0,1,1,0,0,1,13,0,0
556,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0
557,1.0,0.681818,0.810811,22,1.0,0,2,14,0,0,3,13,0,7,16,16,0,7
558,0,0.0,0.0,4,0,0,0,0,0,0,1,0,3,1,0,9,0,4
561,0.666667,1.0,0.8,5,0,0,0,2,0,0,1,5,0,0,2,3,0,0
562,0.375,0.6,0.461538,5,1.0,1.5,6,0,0,0,4,0,2,0,3,8,0,2
566,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0
567,1.0,0.5,0.666667,8,0.6666666666666666,2.0,2,3,1,2,2,3,2,2,4,4,3,4
568,1.0,1.0,1.0,3,0.0,0,0,3,1,0,1,3,1,0,3,3,1,0
569,1.0,0.5,0.666667,6,0,0,0,3,0,0,1,3,1,2,3,3,0,3
578,0.6,1.0,0.75,3,1.0,2.0,6,0,0,0,4,0,0,0,3,5,0,0
581,1.0,0.289474,0.44898,38,1.0,2.0,10,6,0,0,6,6,3,24,11,11,0,27
