id,precision,recall,f1_score,llm_refactoring_count,oracle_count
130951,0.0,0.0,0,0,12
114041,0.0,0.0,0,0,8
130952,0.0,0.0,0,0,12
130953,0.0,0.0,0,0,12
131472,1.0,0.6666666666666666,0.8,3,4
131661,0.0,0.0,0,2,6
131663,0.0,0.0,0,2,4
134261,1.0,0.5,0.6666666666666666,4,7
135411,1.0,0.2857142857142857,0.4444444444444445,3,8
142251,0.0,0.0,0,1,6
143981,0.5,0.3333333333333333,0.4,3,4
151912,1.0,0.3333333333333333,0.5,2,4
162931,1.0,0.375,0.5454545454545454,4,9
162932,0.0,0.0,0,2,7
103791,0.0,0.0,0,0,7
