number,title,user,created_at,closed_at,merged_at,repo_name,owner,body,state,commit_sha,comment_count,review_count,comments_text,review_comments_text,review_states
86,Improved Error Handling and Usability of the Flink YARN Client,rmetzger,2014-07-29T17:26:32+00:00,2014-08-20T09:17:17+00:00,2014-08-20T09:17:17+00:00,flink,apache,"This pull request is addressing the following issues:
- [FLINK-995] TaskManagers are called TaskTracker in NepheleMiniCluster
- [FLINK-968] Add a yarn session parameter for the number of task slots per task manager
- Users can now set any configuration value using `-D` flags.
- I added a RPC service between the YARN Client and the ApplicationMaster for better error reporting (and also status information to the user)
- The log view in the webinterface can now handle multiple log directories (can happen with yarn)
- The webinterface shows the number of slots in the cluster
- Some renamings in the web interface (Apache Flink instead of Flink).
- I also fixed a really annoying bug in the RPC service (it swallowed basically all exceptions during deserialization of objects send over RPC).
- I've updated the documentation of the YARN client.

The changes have been tested on Amazon EMR and the 25 nodes cluster @ TUB.
",closed,ae32c18769347022e456f93e4a84d907a2a465bd,0,0,,,
122,Major Rework of JobManager scheduling classes,StephanEwen,2014-09-17T03:32:35+00:00,2014-09-21T02:13:21+00:00,2014-09-21T02:13:21+00:00,flink,apache,"The new design separates scheduler, instance manager, and execution graph cleanly.
- Job graphs can be incrementally constructed
- The execution graph is a slim asynchronous state machine
- The scheduler picks instances and slots on demand and uses sharing groups / co-location constraints to implement resource sharing and co location
- The management graph is removed, timestamps for state transitions are attached to the execution graph 

This pull request fixes also the following issues
- FLINK-1094 (simplify input split assignment)
- FLINK-1030 (Cleanly separate the Instance Management and Resource Assignment)
- FLINK-1029 (Attach slot information to scheduling/assignment information in Scheduler)
- FLINK-989 (improve not enough slots SchedulingException message)
- FLINK-897 (Bug in scheduler for job graph instance sharing)
- FLINK-820 (Support for unconnected data flows - runtime parts)
- FLINK-625 (Add a fail(Exception) method to the job graph, to report problems detected in RPC calls)
- FLINK-230 (Job Cancellation does not work properly: ""Cannot find execution graph to job ID"")
- FLINK-165 (rework Nephele Task Hierarchy)
- FLINK-79 (Startup time of jobs)
- FLINK-15 (Rework Nephele Execution Graph State Machine)
- FLINK-13 (Bug in Nephele Scheduler)
",closed,028fcf55c41f4b2a7677eb31d0ead3973e457efc,2,0,"Rebases and fixed Java6 and YARN related issues
||Amazing work.
I'll test it on a cluster...
",,
119,Bring Scala API up to speed with Java API,aljoscha,2014-09-14T17:56:39+00:00,2014-09-22T12:29:44+00:00,2014-09-22T12:29:44+00:00,flink,apache,"First of all, don't try reading central Scala API rewrite commit. It's basically a rewrite from Scratch, so the diff won't make a lot of sense. Just look at the result.

The commits before the central commit massage the rest of the system into shape to allow the rewrite. The commits after change some small things and add examples and ITCases.

@mbalassi: How's that for working on Sundays... :smile_cat: 
",closed,84b04bebacfc064b5cd0715328cdcd43cf4e5d0a,15,0,"-1
- Documentation has not been updated to reflect the changes. (not only the scala-specific documentation, also for example this one: http://flink.incubator.apache.org/docs/0.6-incubating/run_example_quickstart.html)
- Hadoop2 builds are not passing 

Would it make sense to use tabs in the scala code as well?
Should we add something like checkstyle for scala into our maven build?

I tried integrating this into the flink-scala project for generating javadocs for scala: https://github.com/typesafehub/genjavadoc
I did the integration for the old flink-scala. Maybe you can take a look into this and see if you can get it running.
I'm currently changing the website build process to build javadocs for the whole project, so it would be nice to have javadocs for the scala API in place for the next release.
||This is what I tried so far: https://github.com/rmetzger/incubator-flink/commit/875d8b07e826a337b391008af3951a6c61beb3a5
||Does it have to be Javadoc? Since in Scala they normally use ScalaDoc.
||It seems to be impossible to mix Scaladoc and Javadoc. Since most of our project has been written in Java, I think it would be easier and better to use Javadoc.

If its impossible to get it running, we can also add another link into our documentation, just for the Scaladoc.
||But people using the Scala API would probably like to have ScalaDoc? I'll look into genjavadoc nevertheless.

For the documentation, I would like to rewrite the Java documentation to have tabs for selecting Java or Scala for the code examples. Since the concepts are exactly the same now. What do you think?

Regarding tabs in Scala source: I think it's highly unusual.
||I think having only one documentation ""Flink programming guide"" that is language independent would be great!

I'm okay with spaces in the Scala source. We should decide for one and then enforce it using something like checkstyle.
||Where does the hadoop2 build fail? Both on travis and on my machine ""mvm -Dhadoop.profile=2 clean verify"" works.
||The status box above the comment field say ""The Travis CI build failed"". When clicking the ""Details"" button, this page appears: https://travis-ci.org/apache/incubator-flink/builds/35272833
But you are right, your latest commit seems to build.
||I'm integrating this: http://www.scalastyle.org

I'll use the spark scalastyle config. Do you think I have to mention it anywhere? It's also Apache Licensed after all...
||I added Scalastyle.
||I think you don't have to mention it, from a legal point of view, but I think its nice.
||Yeah, I'm saying in a comment that it's adapted from Spark.
||What would you say about merging this now?

@rmetzger I think I addressed all your (correct) complaints. :smiley_cat: 
||I think the code and docs are in good shape.

Can you squash some commits while merging, to cleanup the history (for example all the ""fix formatting"" and ""typo"" commits)
||+1
Documentation looks good.
Can you do me a little favor if you're going to work on this anyways? can you remove the ""Hadoop Compatability"" page? It does not contain any text and its misspelled. We should use JIRA to keep work-items around, not empty documentation pages ;)
",,
109,[FLINK-1073] Enables sorted group input for GroupReduce combiners,fhueske,2014-09-02T14:00:56+00:00,2014-09-24T10:25:55+00:00,2014-09-24T10:25:55+00:00,flink,apache,"`GroupReduceCombineDriver` and `SynchronousChainedCombineDriver` use separate comparators for sorting and grouping.
Enabling multiple comparators for a single input of a driver required some refactoring.
",closed,e5731e0ed7f7294e6f73970fed8315cb572c9cfd,1,0,"Ping. Any comments on this PR?
Otherwise, I'll merge it in the next days to proceed with PR #88.
",,
140,Add an object-based variant of the solution set,StephanEwen,2014-10-03T11:45:43+00:00,2014-10-03T12:43:10+00:00,2014-10-03T12:43:10+00:00,flink,apache,,closed,da3e507d28a8fe533277cac413aeac060c6447f4,0,0,,,
234,[FLINK-658] Group Sorting for CoGroups,StephanEwen,2014-11-25T17:59:29+00:00,2014-11-26T13:11:27+00:00,2014-11-26T13:11:27+00:00,flink,apache,,closed,392683f3767170c33e3fe2be59825bec5002a4ca,1,0,"@aljoscha  Can you have a look at this?

The code fails when using the ""default co group"" in the Scala API (see ignored test https://github.com/apache/incubator-flink/pull/234/files#diff-4f9cfc3e3b499122f9e12653b5761e1aR124)

The reason is the current way of wrapping the Operators in a Scala Data Set, together with the shared binary key operations (that prevent operator specific functions, like group sorting). I am not sure what would be the best way to solve this without quite some changes to the Scala APIs design.
",,
149,[FLINK-1019] Implementation of akka based RPC system,tillrohrmann,2014-10-11T18:40:36+00:00,2014-12-18T18:45:15+00:00,2014-12-18T18:45:15+00:00,flink,apache,"Replaced the old Nephele RPC service with akka based system. Thus, several components are now implemented as actors. This includes the JobManager, TaskManager, MemoryArchivist, JobClient. The legacy RPC service and the corresponding protocols are removed. 

Replaced also the execution service of the ExecutionGraph by akka's futures to unify the system. 

Removed the LocalInstanceManager whose task is now handled by the InstanceManager. The responsibility to create local task managers is now delegated to the FlinkMiniCluster. 

The EventCollector was removed and the respective event classes. The events are now directly sent to the respective listeners. 

Moved the resources of the WebInfoServer and the WebInterfaceServer to the resource folders of the corresponding projects. As a consequence these resources are bundled with the jars and directly served from them by Jetty. 

The yarn client was adapted to communicate with the actors. The former ApplicationMaster is combined with the JobManager to simplify the system. The uber-jar is now created with maven's shading plugin.

Since this is a big change I would be happy if another pair of eyes could take a look at it.
",closed,4f841fc2675d9fcf3727164d23fe089fe4d76817,8,0,"I vote to merge this rather soon:
- The pull request touches A LOT of code, so it will quickly become incompatible with the rest of the system.
- We are going to merge this anyways. The only think we need to ensure here is that the change does not immediately break our system. Minor bugfixes will come anyways in the next few days.
||What are the plans for merging this change?
||There are some minor issues we discovered when going over the code with Stephan. I first have to address them. These include amongst others:
- Local mode for JobManager in main
- Better error message when LibraryCacheManager fails (or BlobManager)
- GlobalExecutionContext limit amount of created threads?
- TaskManager: Watch jobManager in case of network error or jobManager crash
- Check exception handling in ExecutionGraph
- Expose Akka timeouts via config 
||Look like rebase is needed for this PR?
||Yes it is. But there are still some performance issues I have to figure out first. 
||Looks like a big ass change ;-) My inline comments were more or less random. I just wanted to get a feeling of the changes.

I can have a look in the next days. :-)
||Thanks for the feedback Ufuk. I tried to address the points you have mentioned. Concerning the problem of failing travis builds, it turned out to be race condition in the execution graph I stumbled upon. Due to this race condition, it was possible for a job to finish before all vertices have properly reached a finished state. It is fixed with the latest commit.
||It looks like it was really hard to catch. :-) Congrats! I don't know how much work it is, but we might want to make sure to have a test case for this (if possible) or add an extra comment that no one messes with the patch. ;-)
",,
289,Cleanups on top of #259 Make execution mode configurable,StephanEwen,2015-01-07T21:04:47+00:00,2015-01-08T10:59:16+00:00,2015-01-08T10:59:16+00:00,flink,apache,"I made a few adjustments to the code:
1. The map driver now also supports this ;-)
2. In the merge iterator (merges sorted runs from external sort), we now always use the non-reusing code path,    because the reusing code path here implies in all cases additional instances to be held concurrently, and copy between elements, which voids the benefits of reusing elements.
3. For many utility iterators (in test cases), I consolidated the logic between the two variants of the ""next()"" functions (one calls the other, where possible)
4. I eliminated a few copies between elements in the non-reusing parts (where possible)
5. I threw out unused variables in the non-reusing variants (mainly serializers previously used to create instance or copy between instances)
6. Threw out some unused types
7. I tried to improve generic type safety (fewer raw types)
",closed,b7b32a050e4b77012b9b70bb98b2a22d293dfbad,1,0,"+1 I had a look over it, looks good.

The map driver I really forgot... and it's the easiest operator to port. :see_no_evil: 
",,
311,[FLINK-1328] Reworked semantic annotations,fhueske,2015-01-14T22:36:32+00:00,2015-01-28T01:24:19+00:00,2015-01-28T01:24:19+00:00,flink,apache,"This PR is based on #83

Open Issues:
- Naming of class annotations (`ConstantFields`, `ConstantFieldsExcept`, `ReadFields`, ...) and API methods (`withConstantSet()`, ...). Constant fields and constant set is a bit inconsistent. Do we want to keep the term _constant_ or should we go with preserved or forwarded fields? Right now, the original naming is preserved. 
- Documentation except for JavaDocs not done yet.
",closed,78f41e9cae597deeafdec934d6052ad72db6946f,10,0,"How about names along the lines of ""Unmodified Fields"" ?
||Except for the comments and the missing documentation, the change looks good.
I can however not really validate the changes in the optimizer.
||Thanks for the review!

Proposed names for ""constant field"" semantic properties:
- constant fields (current)
- unmodified fields
- forwarded fields
- preserved fields

I leaning towards forwarded fields. Other opinions?
||Another question: Would it make sense to annotate the `DefaultFlatJoinFunction` in `JoinOperator.java`.
We know for sure that the function is going to do. Right now, the optimizer doesn't know that the partitioning is preserved.
||Right! 
Some built-in operators had semantic annotations like filter, projection, and aggregation. Due to nesting support, semantic annotation can be added to more operators.
Forgot to check that. Very good catch! :-)
||Look good. The test coverage is massive - very good for a delicate concept like this :-)

One remaining issue is the naming of the methods/concepts and how they are exposed in the APIs.
- I personally liked it better the way it was before. For example, binary operators returned `DualInputSematicProperties` and the methods were `getForwardedFieldsFirst(int field)`. That looked more intuitive for API users than operating on the interface `SemanticProperties` and using `getTargetFields(input, position)`.
- The backwards access (get source field for target field) is relevant only in the optimizer, correct?
  Is there some way to expose that to th eoptimizer only? It makes the public API more confusing.
- Is it necessary to have the extra methods `hasFieldForwardInformation()`? This again makes it more complicated to use. Can we not simply have a null entry for fields that have no forward information?
||IMO, users should only be allowed to set semantic properties though field expression strings. There should be no need to implement an own SemanticProperty class or manually set the forwarded fields in SemanticProperty objects. Setting these fields is not trivial because of field indices needs to be flattened and types of source and target fields should be checked for compatibility. From my point of view, this is clearly a developer API. Whoever gets in touch with it should not have problems dealing with input ids or implementing the backwards access.

The {{hasFieldForwardInfomation()}} can be removed though. Will do that.
||Addressed most comments and renamed constantFields/Sets to forwardedFields as discussed on dev-ml.
Would like to merge this soon.
||+1 from my side
||+1 for merging it

Whats the plan with the documentation?
",,
236,"Add support for Subclasses, Interfaces, Abstract Classes as POJOs",aljoscha,2014-11-26T12:28:13+00:00,2015-02-10T13:11:26+00:00,2015-02-10T13:11:26+00:00,flink,apache,,closed,7407076d3990752eb5fa4072cd036efd2f656cbc,34,0,"This change does not add support for `Writable` interfaces, right?
||Good work!
I think we need a few end-to-end tests for these changes before we can merge them.
||@rmetzger I hope I addressed your concerns. :dancers: 
||Any thoughts about this?

I myself am not 100% happy with this. When the user uses a subclass that cannot be analysed by our TypeExtractor the whole program will fail with an Exception. At Runtime, not at pre-flight time.
||It is a start, though, gets us further than the state before...
||Thats true. :D Before the job would just produce incorrect results because the PojoSerializer would only serialise the fields it knows about.
||The code looks good.
I tried it out and found that this is not working: https://github.com/rmetzger/incubator-flink/commit/d391ee184b47541fd83709e858eb10757111d14a
||I ran some tests to measure the performance impact. I tried our regular WordCount example, which uses Tuples, a POJO WordCount and a POJO WordCount where the user function emits a subclass of the type of the DataSet.

The results:
- WordCount Tuple: 440 sec
- WordCount POJO (w/o this PR): 540 sec
- WordCount POJO (w/ this PR): 550 sec
- WordCount POJO Subclass: 2443 sec
- WordClass POJO Subclass with Tagging: 830 sec

The ""tagging"" version is a mockup of how it would behave if we allowed users to register classes, so that only an ID has to be transferred. Similar to how Kryo does it.
||I think this is a fair start. Can we make the tag more compact (single byte integer)? Otherwise, I think it is a good idea to get this in.
||I now also added a way for users to register classes and actual support for class tags. The performance numbers I posted earlier are still valid: 
- WordCount Tuple: 440 sec
- WordCount POJO (w/o this PR): 540 sec
- WordCount POJO (w/ this PR): 550 sec
- WordCount POJO Subclass: 2443 sec
- WordClass POJO Subclass with Tagging: 830 sec
||Is this subclass support behavior behavior always activated?

Does it make sense to have a switch for that (""allowSubtypes"") ?

I am wondering because the Graph API folks made a  mistake to accidentally create super-type type infos. With this patch, everything would have worked (no one would have noticed the mistake), but quite a bit slower.
||With respect to my comment above: This is only relevant to POJOs? Not to tuples, if I see it correctly.
||I was initially leaning towards activating by default, but this might be problematic when users just think that the system is slow (and not the special case of POJO sub types). But if we keep it deactivated by default, we should catch the error and give a meaningful message with the switch and a performance warning.
||You add a `registerClass(Class<?>)` method to the execution environment.
- Should we rename it to `registerType()`?
- I think it makes sense to also register the class at Kryo. After all, we do not know it will actually be used as a POJO and not as a generic type.
||Yes, I see your point in also registering it at Kryo. Can we get hold of the Kryo instance inside the ExecutionEnvironment? Or we could use the same mechanism I use for the Pojos to copy the list when creating a generic Kryo Serializer.
||Why now registerClass? You can only register Classes, that's the name for this concept in Java.
||I think we need initially use the same mechanism for Kryo registration as you used for Pojos.

With `registerType()` I was hoping it would be more clear that this is a type of exchanged records, not just some class that someone happens to have anywhere inside the code.
||Ufuk Celebi  on dev@flink.incubator.apache.org replies:

I actually like `registerType()` more.
||I renamed it to registerType and extended it to KryoSerializer.
||I would like to have this merged soon.
It contains some good changes to the TypeExtractor (support for interfaces & abstract classes)
||Are there any objections about merging this PR? 
Otherwise, I'd rebase it, test it, and merge it if everything is OK.
||No objections, your honour.
||Two questions relevant to the interplay with other code:
- How does the `registerType()` interact with the registration of custom kryo serializers?
- Why is the POJO subclass with tagging significantly slower than the POJO base class here? I thought that both cases are tagged (as being base class or subclass). What causes the time difference then?
||I will have to rework this now that the support for registering Types and Serializers at Kryo was merged.

The POJO subclass with tagging is slower because we do additional checks and lookups: Upon serialisation we perform a map lookup to check whether the subclass is actually a registered class. When deserialising we have to fetch the correct subclass serialiser from an array of subclass serialisers.
||@aljoscha  Have a look at #316 where I took this PR, rebased it, and fixed some problems with Pojo types.
||It would be nice to use the same `registerType()` function for this as for Kryo. Is there a good way to figure out where to register the type, Kryo or POJO? If not, should we register the type at both serializers?
||We could try and analyse the type as a POJO. If it is a POJO add it to the PojoSerializer, otherwise, add it to the KryoSerializer.
||I took @fhueske's rebase from #316.

I also added a switch to the TypeExtractor to force it to use Kryo, even though it could analyse a type as a POJO. In some cases this might be preferable. For example, when using interfaces with subclasses that cannot be analyzed as POJO. 

What do you think?
||What would happen if a base class fulfills the POJO requirements, but the subclass does not?
||Then it fails at runtime, which makes me very uneasy. But then again, stuff can always fail at runtime when the user uses some strange subclass. Even more so without this PR.
||That is not a really good solution, IMHO.
Can we have a special tag that signifies that the deserialization is delegated to Kryo?

How about this flow:
- If class is `null`, then write null tag.
- If class is original class, write ""same class"" tag
- If class is registered and pojo, handle with pojo logic (tag and write class)
- If class is registered and not pojo, write kryo tag and delegate to kryo
- If class is not registered, write kryo tag and delegate to kryo
||Yes, it is not a good solution But what you propose isn't either: If we use Kryo for those subclasses that we cannot handle then nothing works anymore. The whole reason we have support for POJOs is that we can theoretically compare them in their binary representation. We are not doing this right now (the PojoComparator is always comparing in deserialised form) but we added it with that goal in mind.

If we don't want to do that anymore we can just get rid of the whole POJO serialisation code and use Kryo for everything.
||Dang, I see your point. We need something more clever then...

Can we (for now) at least make sure that it fails early: Get an exception when registering a subtype of a pojo at the pojo serializer (in the pre-flight phase)? And give a pointer to the flag that forces Kryo Serialization?
||Ok, I'll merge this, and then you can make your changes on top of this.
",,
