Batch,File,Repository,Commit SHA,Description,is_pure_rename
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,ffbc7e177bca0a84d892514b138d6d208a87f64f,"Rename Variable files : List<String> to resultFiles : ArrayList<String> in method protected compareResultsByLinesInMemory(expectedResultStr String, resultPath String) : void from class eu.stratosphere.pact.test.util.TestBase",No
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,54ee5fa3d278fbfd4ee6850b6e20d04d0d10aea5,"Rename Variable dataFile : String to splitString : String in method private splitInputString(inputString String, splitChar char, noSplits int) : String[] from class eu.stratosphere.pact.test.pactPrograms.KMeansIterationTest",Yes
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Variable dummyInstanceNotifiable : MyInstanceNotifiable to dummyInstanceListener : MyInstanceListener in method public testInstanceConfiguration() : void from class eu.stratosphere.nephele.instance.cluster.ClusterManagerTest,No
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Variable dummyInstanceNotifiable : MyInstanceNotifiable to dummyInstanceListener : MyInstanceListener in method public testAllocationDeallocation() : void from class eu.stratosphere.nephele.instance.cluster.ClusterManagerTest,No
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Variable dummyInstanceNotifiable : MyInstanceNotifiable to dummyInstanceListener : MyInstanceListener in method public testTimeout() : void from class eu.stratosphere.nephele.instance.cluster.ClusterManagerTest,No
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Variable myInstanceNotifiable : MyInstanceNotifiable to myInstanceListener : MyInstanceListener in method public testGetDefaultInstance() : void from class eu.stratosphere.nephele.instance.cloud.CloudManagerTest,No
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Variable myInstanceNotifiable : MyInstanceNotifiable to myInstanceListener : MyInstanceListener in method public testGetSuitableInstanceType() : void from class eu.stratosphere.nephele.instance.cloud.CloudManagerTest,No
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Variable myInstanceNotifiable : MyInstanceNotifiable to myInstanceListener : MyInstanceListener in method public testGetInstanceTypeByName() : void from class eu.stratosphere.nephele.instance.cloud.CloudManagerTest,No
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Variable myInstanceNotifiable : MyInstanceNotifiable to myInstanceListener : MyInstanceListener in method public testRequestReleaseDestroyInstanceAndHeartBeat() : void from class eu.stratosphere.nephele.instance.cloud.CloudManagerTest,No
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,"Rename Variable jobNotifiables : List<ProfilingNotifiable> to jobListeners : List<ProfilingListener> in method private dispatchThreadData(timestamp long, profilingData InternalExecutionVertexThreadProfilingData) : void from class eu.stratosphere.nephele.profiling.impl.JobManagerProfilerImpl",No
